word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
istehsal,istehsal,istehsal,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",istehsal,istehsal,1,1,1
olunmuş,ol + unmuş,ol + un + muş,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",olun + muş,olun + muş,0,0,0
xammalı,xammal + ı,xammal + ı,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",xammal + ı,xammal + ı,1,1,1
məhsullarını,məhsul + larını,məhsul + lar + ı + nı,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",məhsul + larını,məhsul + larını,0,0,0
Şimali,şimal + i,şimal + i,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",şimal + i,şimal + i,1,1,1
Qafqaz,Qafqaz,qafqaz,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",Qafqaz,Qafqaz,1,1,1
Volqa,Volqa,volqa,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",Volq + a,Volqa,1,0,1
daşımaq,daşımaq,daşı + maq,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",daşımaq,daşımaq,0,0,0
mümkün,mümkü + n,mümkün,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",mümkün,mümkün,0,1,1
deyildi,deyil + di,deyil + di,Bakı,"Bundan əlavə, istehsal olunmuş xammalı və neft məhsullarını Şimali Qafqaz və Volqa çayı ilə daşımaq mümkün deyildi.",deyil + di,deyil + di,1,1,1
şəhər,şəhər,şəhər,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,şəhər,şəhər,1,1,1
Hakimiyyətinin,Hakimiyyət + inin,hakimiyyət + i + n + in,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,Hakimiyyət + inin,Hakimiyyət + inin,0,0,0
binası,bina + sı,bina + sı,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,bina + sı,bina + sı,1,1,1
İstiqlaliyyət,İstiqlaliyyət,istiqlaliyyət,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,İstiqlaliyyət,İstiqlaliyyət,0,0,0
küçəsinin,küçə + sinin,küçə + si + n + in,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,küçə + sinin,küçə + sinin,0,0,0
mərkəzində,mərkəz + ində,mərkəz + i + n + də,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,mərkəz + ində,mərkəz + ində,0,0,0
yerləşir,yerləş + ir,yerləşir,Bakı,Bakı şəhər İcra Hakimiyyətinin binası İstiqlaliyyət küçəsinin mərkəzində yerləşir.,yerləş + ir,yerləş + ir,0,0,0
Qurumlarla,Qurum + larla,qurum + lar + la,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",Qurum + larla,Qurum + larla,0,0,0
Dövlət,Dövlət,dövlət,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",Dövlət,Dövlət,1,1,1
Komitəsinin,Komitə + sinin,komitə + si + n + in,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",Komitə + sinin,Komitə + sinin,0,0,0
verdiyi,ver + diyi,ver + di + yi,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",verdi + yi,verdi + yi,0,0,0
mənbəyə,mənbə + yə,mənbə + yə,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",mənbə + yə,mənbə + yə,1,1,1
ərazisində,ərazi + sində,ərazi + si + n + də,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",ərazi + sində,ərazi + sində,0,0,0
məscid,məscid,məscid,Bakı,"Din 2012-ci ildə Dini Qurumlarla İş üzrə Dövlət Komitəsinin verdiyi mənbəyə görə, Bakı ərazisində 120 məscid var.",məsci + d,məscid,1,0,1
İnternetdən,İnternet + dən,internet + dən,Bakı,İnternetdən 120 min nəfər istifadə edirdi və istifadəçilərin 90 faizi Bakıda idi.,İnternet + dən,İnternet + dən,0,0,0
nəfər,nəfər,nəfər,Bakı,İnternetdən 120 min nəfər istifadə edirdi və istifadəçilərin 90 faizi Bakıda idi.,nəfər,nəfər,1,1,1
istifadə,istifadə,istifadə,Bakı,İnternetdən 120 min nəfər istifadə edirdi və istifadəçilərin 90 faizi Bakıda idi.,istifad + ə,istifadə,1,0,1
istifadəçilərin,istifadəçi + lərin,istifadə  + çi + lər + in,Bakı,İnternetdən 120 min nəfər istifadə edirdi və istifadəçilərin 90 faizi Bakıda idi.,istifadəçi + lərin,istifadəçi + lərin,0,0,0
faizi,faiz + i,faiz + i,Bakı,İnternetdən 120 min nəfər istifadə edirdi və istifadəçilərin 90 faizi Bakıda idi.,faiz + i,faiz + i,1,1,1
Bakıda,Bakı + da,Bakı + da,Bakı,İnternetdən 120 min nəfər istifadə edirdi və istifadəçilərin 90 faizi Bakıda idi.,Bakı + da,Bakı + da,1,1,1
Həmin,Həmin,həmin,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,Həmin,Həm + in,1,1,0
fərmanla,fərman + la,fərman + la,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,fərman + la,fərman + la,1,1,1
şəhəri,şəhər + i,şəhər + i,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,şəhər + i,şəhər + i,1,1,1
quberniya,quberniya,quberniya,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,quberniya,quber + niya,1,1,0
mərkəzi,mərkəz + i,mərkəz + i,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,mərkəz + i,mərkəz + i,1,1,1
statusu,status + u,status + u,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,status + u,status + u,1,1,1
almışdır,al + mışdır,almışdır,Bakı,Həmin fərmanla Bakı şəhəri quberniya mərkəzi statusu almışdır.,almış + dır,almış + dır,0,0,0
Nobel,Nobel,nobel,Bakı,"1872-ci ildə Nobel qardaşları Bakıda ""Branobel"" adlı ilk neft şirkətini təsis etdilər.",Nobel,Nobel,1,1,1
qardaşları,qardaş + ları,qardaş + lar + ı,Bakı,"1872-ci ildə Nobel qardaşları Bakıda ""Branobel"" adlı ilk neft şirkətini təsis etdilər.",qardaş + ları,qardaş + ları,0,0,0
Branobel,Branobel,branobel,Bakı,"1872-ci ildə Nobel qardaşları Bakıda ""Branobel"" adlı ilk neft şirkətini təsis etdilər.",Branobel,Branobel,1,1,1
şirkətini,şirkət + ini,şirkət + i + n + i,Bakı,"1872-ci ildə Nobel qardaşları Bakıda ""Branobel"" adlı ilk neft şirkətini təsis etdilər.",şirkət + ini,şirkət + ini,0,0,0
təsis,təsis,təsis,Bakı,"1872-ci ildə Nobel qardaşları Bakıda ""Branobel"" adlı ilk neft şirkətini təsis etdilər.",təsis,təsis,1,1,1
etdilər,et + dilər,et + di + lər,Bakı,"1872-ci ildə Nobel qardaşları Bakıda ""Branobel"" adlı ilk neft şirkətini təsis etdilər.",et + dilər,etdi + lər,0,0,0
bütün,bütü + n,bütün,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",bütün,bütün,0,1,1
rayonları,rayon + ları,rayon + lar + ı,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",rayon + ları,rayon + ları,0,0,0
birlikdə,birlik + də,bir + lik + də,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",birlik + də,birlik + də,0,0,0
ekoloji,ekoloji,ekloji,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",ekoloj + i,ekoloji,0,0,0
cəhətcə,cəhətcə,cəhət + cə,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",cəhətcə,cəhətcə,0,0,0
qismən,qismən,qism + ən,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",qismən,qismən,0,0,0
metallar,metal + lar,metal + lar,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",metal + lar,metal + lar,1,1,1
gərgin,gərgin,gərgin,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",gərgin,gərgin,1,1,1
zonadır,zona + dır,zona + dır,Bakı,"Bakı şəhəri (bütün rayonları ilə birlikdə) ekoloji cəhətcə, qismən ağır metallar üzrə, gərgin zonadır.",zona + dır,zona + dır,1,1,1
Azərbaycan,Azərbaycan,azərbaycan,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,Azərbaycan,Azərbaycan,1,1,1
Akademiyasında,Akademiya + sında,akademiya + sı + n + da,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,Akademiya + sında,Akademiya + sında,0,0,0
verən,ver + ən,ver + ən,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,verən,verə + n,1,0,0
terror,terror,terror,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,terror,terror,1,1,1
hadisəsində,hadisə + sində,hadisə + si + n + də,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,hadisə + sində,hadisə + sində,0,0,0
həlak,həlak,həlak,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,həlak,həlak,1,1,1
olmuşdur,ol + muşdur,ol + muş + dur,Bakı,2009-cu ildə Azərbaycan Dövlət Neft Akademiyasında baş verən terror hadisəsində 13 nəfər həlak olmuşdur.,ol + muşdur,ol + muşdur,0,0,0
illərdə,il + lərdə,il + lər + də,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,il + lərdə,il + lərdə,0,0,0
Mərdəkanda,Mərdəkan + da,mərdəkan + da,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,Mərdəkan + da,Mərdəkan + da,1,1,1
tikilmiş,tikil + miş,tik + il + miş,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,tikil + miş,tikil + miş,0,0,0
sənayeçisi,sənayeçi + si,sənaye + çi + si,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,sənayeçi + si,sənayeçi + si,0,0,0
Murtuza,Murtuz + a,murtuza,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,Murtuz + a,Murtuz + a,0,0,0
Muxtarovun,Muxtarov + un,muxtarov + un,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,Muxtarov + un,Muxtarov + un,1,1,1
villası,villa + sı,villa + sı,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,villa + sı,villa + sı,1,1,1
varlılarının,varlı + larının,var + lı + lar + ı + n + ın,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,varlı + larının,varlı + larının,0,0,0
şəhərkənarı,şəhərkənar + ı,şəhər + kənar + ı,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,şəhərkənar + ı,şəhərkənar + ı,0,0,0
tikintilərinin,tikinti + lərinin,tik + inti + lər + i + n + in,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,tikinti + lərinin,tikinti + lərinin,0,0,0
başlanğıcını,başlanğıc + ını,baş + la + n + ğıc + ı + n + ı,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,başlanğıc + ını,başlanğıc + ını,0,0,0
qoydu,qoy + du,qoy + du,Bakı,1890-cı illərdə Mərdəkanda tikilmiş Bakı sənayeçisi Murtuza Muxtarovun villası Bakı varlılarının şəhərkənarı bağ tikintilərinin başlanğıcını qoydu.,qoy + du,qoy + du,1,1,1
Həmçinin,Həmçi + nin,həmçinin,Bakı,Həmçinin müxtəlif mənbələrdə Böyük Bakı kimi də qeyd olunur.,Həmçi + nin,Həmçi + nin,0,0,0
müxtəlif,müxtəlif,müxtəlif,Bakı,Həmçinin müxtəlif mənbələrdə Böyük Bakı kimi də qeyd olunur.,müxtəlif,müxtəlif,1,1,1
mənbələrdə,mənbə + lərdə,mənbə + lər + də,Bakı,Həmçinin müxtəlif mənbələrdə Böyük Bakı kimi də qeyd olunur.,mənbə + lərdə,mənbə + lərdə,0,0,0
Böyük,Böyük,böyük,Bakı,Həmçinin müxtəlif mənbələrdə Böyük Bakı kimi də qeyd olunur.,Böyük,Böyük,1,1,1
olunur,ol + unur,ol + un + ur,Bakı,Həmçinin müxtəlif mənbələrdə Böyük Bakı kimi də qeyd olunur.,ol + unur,ol + unur,0,0,0
Bakının,Bakı + nın,bakı + n + ın,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Bakı + nın,Bakı + nın,0,0,0
mühüm,mühüm,mühüm,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",mühüm,mühüm,1,1,1
parklarından,park + larından,park + lar + ı + n + dan,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",park + larından,park + larından,0,0,0
Zabitlər,Zabit + lər,zabit + lər,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Zabit + lər,Zabit + lər,1,1,1
parkı,park + ı,parkı,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",park + ı,park + ı,0,0,0
Filarmoniya,Filarmoniya,filarmoniya,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Filarmoniya,Filarmoniya,1,1,1
Xaqani,Xaqa + ni,xaqani,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Xaqa + ni,Xaqa + ni,0,0,0
Dağüstü,Dağüst + ü,dağ + üstü,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Dağüst + ü,Dağüst + ü,0,0,0
Qorqud,Qorqu + d,qorqud,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Qorqu + d,Qorqu + d,0,0,0
Nəbatat,Nəbatat,nəbatat,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Nəbatat,Nəbatat,1,1,1
Bağını,Bağ + ını,bağ + ı + n + ı,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",Bağ + ını,Bağ + ını,0,0,0
etmək,et + mək,et + mək,Bakı,"Bakının ən mühüm parklarından Zabitlər parkı, Filarmoniya bağı, Xaqani bağı, Dağüstü Park, Dədə Qorqud parkı və Mərkəzi Nəbatat Bağını qeyd etmək olar.",et + mək,et + mək,1,1,1
şəhərdə,şəhər + də,şəhər + də,Bakı,"Şəhərdə həm də Azərbaycanın ən böyük kitab mağazalar şəbəkəsi olan ""Əli və Nino"" yerləşir.",şəhər + də,şəhər + də,1,1,1
Azərbaycanın,Azərbaycan + ın,azərbaycan + ın,Bakı,"Şəhərdə həm də Azərbaycanın ən böyük kitab mağazalar şəbəkəsi olan ""Əli və Nino"" yerləşir.",Azərbaycan + ın,Azərbaycan + ın,1,1,1
kitab,kitab,kitab,Bakı,"Şəhərdə həm də Azərbaycanın ən böyük kitab mağazalar şəbəkəsi olan ""Əli və Nino"" yerləşir.",kitab,kitab,1,1,1
mağazalar,mağaza + lar,mağaza + lar,Bakı,"Şəhərdə həm də Azərbaycanın ən böyük kitab mağazalar şəbəkəsi olan ""Əli və Nino"" yerləşir.",mağaza + lar,mağaza + lar,1,1,1
şəbəkəsi,şəbəkə + si,şəbəkə + si,Bakı,"Şəhərdə həm də Azərbaycanın ən böyük kitab mağazalar şəbəkəsi olan ""Əli və Nino"" yerləşir.",şəbəkə + si,şəbəkə + si,1,1,1
mərhələsi,mərhələ + si,mərhələ + si,Bakı,"2020-ci ildə şəhərdə UEFA Avro 2020-nin qrup mərhələsi və 1/4 finalı keçirilməli idi, amma COVID-19 pandemiyası səbəbindən turnir təxirə salındı.",mərhələ + si,mərhələ + si,1,1,1
