word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
esett,es + ett,es + ett,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",es + ett,esett,1,1,0
áldozatul,áldozat + ul,áldozat + ul,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",áldozat + ul,áldozat + ul,1,1,1
másik,mási + k,más + ik,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",mási + k,mási + k,0,0,0
pedig,ped + ig,pedig,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",ped + ig,ped + ig,0,0,0
napig,nap + ig,nap + ig,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",nap + ig,nap + ig,1,1,1
tartó,tart + ó,tart + ó,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",tart + ó,tart + ó,1,1,1
ostrom,ostrom,ostrom,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",ostrom,ostrom,1,1,1
során,sorá + n,sor + á + n,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",sorá + n,sorá + n,0,0,0
vesztette,veszt + ette,veszte + tt + e,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",veszt + ette,veszt + ette,0,0,0
életét,élet + ét,élet + é + t,Budapest,"Az 1944-es német megszállást követően a lakosság egy része a holokausztnak esett áldozatul, másik része (38 000 fő) pedig a 102 napig tartó ostrom során vesztette életét.",élet + ét,életét,0,0,0
Építészet,Építészet,épít + ész + et,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",Építészet,Építészet,0,0,0
Budapesten,Budapest + en,budapest + en,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",Budapest + en,Budapest + en,1,1,1
építészeti,építészeti,épít + ész + et + i,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",építészeti,építészeti,0,0,0
szempontból,szempont + ból,szempont + ból,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",szempont + ból,szempont + ból,1,1,1
európai,európai,európa + i,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",európai,európai,0,0,0
világviszonylatban,világviszonylat + ban,világviszonylat + ban,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",világviszonylat + ban,világviszonylat + ban,1,1,1
kimagasló,kimagasl + ó,ki + magas + ló,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",kimagasl + ó,kimagasl + ó,0,0,0
épület,épület,épül + et,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",épület,épület,0,0,0
található,található,talál + hat + ó,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",található,található,0,0,0
legtöbbje,legtöbb + je,leg + több + je,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",legtöbb + je,legtöbb + je,0,0,0
UNESCO,UNESCO,UNESCO,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",UNESCO,UNESCO,1,1,1
világörökségi,világörökségi,világörökség + i,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",világörökségi,világörökségi,0,0,0
helyszíneihez,helyszín + eihez,helyszín + ei + hez,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",helyszín + eihez,helyszín + eihez,0,0,0
tartozik,tartozik,tartoz + ik,Budapest,"Építészet Budapesten építészeti szempontból is több európai és világviszonylatban is kimagasló épület található, melyek legtöbbje mára már az UNESCO világörökségi helyszíneihez tartozik.",tartozik,tartozik,0,0,0
kerületi,kerületi,kerület + i,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",kerületi,kerületi,0,0,0
erzsébetvárosi,erzsébetvárosi,erzsébetváros + i,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",erzsébetvárosi,erzsébetvárosi,0,0,0
szakasza,szakasz + a,szakasz + a,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",szakasz + a,szakasz + a,1,1,1
amely,amely,amely,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",amely,amely,1,1,1
Blaha,Blaha,Blaha,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",Blaha,Blaha,1,1,1
Lujza,Lujza,lujza,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",Lujz + a,Lujz + a,1,0,0
tértől,tér + től,tér + től,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",tér + től,tér + től,1,1,1
Király,Király,Király,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",Király,Király,1,1,1
utcáig,utcá + ig,utcá + ig,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",utcá + ig,utcá + ig,1,1,1
húzódik,húzódik,húz + ód + ik,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",húzódik,húzódik,0,0,0
méter,méter,méter,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",méter,méter,1,1,1
hosszan,hossz + an,hossz + an,Budapest,"kerületi, erzsébetvárosi szakasza, amely a Blaha Lujza tértől a Király utcáig húzódik 764 méter hosszan.",hossz + an,hossz + an,1,1,1
Nagyobb,Nagyobb,nagy + obb,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,Nagyobb,Nagyobb,0,0,0
tavaszi,tavaszi,tavasz + i,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,tavaszi,tavaszi,0,0,0
esőzéseket,esőzés + eket,eső + z + és + ek + et,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,esőzés + eket,esőzés + eket,0,0,0
szilárd,szilárd,szilárd,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,szilárd,szilárd,1,1,1
burkolatú,burkolatú,burkolat + ú,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,burkolatú,burkolatú,0,0,0
felületekre,felület + ekre,felület + ek + re,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,felület + ekre,felület + ekre,0,0,0
menekülnek,menekül + nek,menekül + nek,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,menekül + nek,menekül + nek,1,1,1
éticsigák,éticsigá + k,éticsigá + k,Budapest,Nagyobb tavaszi és őszi esőzéseket követően a szilárd burkolatú felületekre menekülnek az éticsigák.,éticsigá + k,éticsigá + k,1,1,1
körutat,kör + utat,körut + at,Budapest,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,kör + utat,kör + utat,0,0,0
össze,ös + sze,össze,Budapest,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,ös + sze,össze,0,0,1
városrész,városrész,városrész,Budapest,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,városrész,városrész,1,1,1
között,köz + ött,között,Budapest,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,köz + ött,köz + ött,0,0,0
Margitsziget,Margitsziget,margitsziget,Budapest,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,Margitsziget,Margitsz + iget,1,1,0
érintésével,érintés + ével,érint + és + é + vel,Budapest,A híd két körutat köt össze a két városrész között a Margit-sziget érintésével.,érintés + ével,érintés + ével,0,0,0
ország,ország,ország,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",ország,ország,1,1,1
legnagyobb,legnagyobb,leg + nagy + obb,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",legnagyobb,legnagy + obb,0,0,0
termálvizes,termálvizes,termálviz + es,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",termálvizes,termálv + izes,0,0,0
barlangrendszere,barlangrendszer + e,barlangrendszer + e,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",barlangrendszer + e,barlangrendszer + e,1,1,1
Európa,Európa,európa,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",Európa,Európa,1,1,1
zsinagógája,zsinagógá + ja,zsinagógá + ja,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",zsinagógá + ja,zsinagógá + ja,1,1,1
Dohány,Dohány,dohány,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",Dohány,Dohány,1,1,1
utcai,utc + ai,utca + i,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",utcai,utc + ai,0,0,0
zsinagóga,zsinagóga,zsinagóga,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",zsinagóga,zsinagóga,1,1,1
valamint,valamint,valamint,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",valamin + t,valamin + t,1,0,0
világ,világ,világ,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",világ,világ,1,1,1
harmadik,harmadik,harmad + ik,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",harmadik,harmadik,0,0,0
parlamenti,parlamenti,parlament + i,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",parlamenti,parlamenti,0,0,0
épülete,épület + e,épület + e,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",épület + e,épület + e,1,1,1
magyar,magyar,magyar,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",magyar,magyar,1,1,1
Országház,Országház,országház,Budapest,"Itt található az ország legnagyobb termálvizes barlangrendszere Európa legnagyobb zsinagógája (a Dohány utcai zsinagóga), valamint a világ harmadik legnagyobb parlamenti épülete, a magyar Országház is.",Országház,Országház,1,1,1
évektől,év + ektől,év + ek + től,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",év + ektől,év + ektől,0,0,0
egészen,egész + en,egész + en,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",egész + en,egész + en,1,1,1
napjainkig,napjaink + ig,nap + ja + ink + ig,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",nap + jainkig,nap + jainkig,0,0,0
csökken,csökk + en,csökken,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",csökk + en,csökk + en,0,0,0
népességszáma,népességszám + a,népességszám + a,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",népességszám + a,népességszám + a,1,1,1
kevesebben,kevesebb + en,keves + ebb + en,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",kevesebb + en,keves + ebben,0,0,0
laknak,lak + nak,lak + nak,Budapest,"Az 1980-as évektől, egészen napjainkig csökken a város népességszáma, ma már kevesebben laknak Budapesten, mint 1960-ban.",lak + nak,lak + nak,1,1,1
magasan,magas + an,magas + an,Budapest,"kerületben, míg a magasan képzettek közül a legtöbben (100 253 fő) a XI.",magas + an,magas + an,1,1,1
