word,pred_seed42,gold_segmentation,source,sentence,pred_seed123,pred_seed456,correct_seed42,correct_seed123,correct_seed456
leikkauspinnalta,leikkaus + pinnalta,leikkaus + pinta + lta,Helsinki,"1920-luvun klassismi vaihettui vähitellen pelkistyen funktionalismiin ja jätti Helsinkiin paljon rakennuksia, jotka tyylillisesti ovat näiden tyylisuuntien leikkauspinnalta.",leikkaus + pinnalta,leikkaus + pinnalta,0,0,0
Helsingistä,Helsin + gistä,Helsinki + stä,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",Helsin + gistä,Helsin + gistä,0,0,0
kehkeytyi,kehkeyty + i,kehkeyty + i,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",kehkeyty + i,kehkeyty + i,1,1,1
hallinto,hallinto,hallinto,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",hallinto,hallinto,1,1,1
yliopisto,yli + opisto,yli + opisto,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",yli + opisto,yli + opisto,1,1,1
varuskuntakaupunki,varus + kuntakaupunki,varus + kunta + kaupunki,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",varus + kuntakaupunki,varus + kuntakaupunki,0,0,0
kasvoi,kasvo + i,kasvo + i,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",kasvo + i,kasvo + i,1,1,1
todelliseksi,todelli + seksi,todellise + ksi,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",todelli + seksi,todelli + seksi,0,0,0
teollisuuskeskukseksi,teollisuus + keskukseksi,teollisuus + keskus + ksi,Helsinki,"Helsingistä kehkeytyi hallinto-, yliopisto- ja varuskuntakaupunki, ja se kasvoi maan todelliseksi teollisuuskeskukseksi.",teollisuus + keskukseksi,teollisuus + keskukseksi,0,0,0
alussa,al + ussa,alku + ssa,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,alu + ssa,alu + ssa,0,0,0
suomen,suom + en,suomi + n,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,suom + en,suom + en,0,0,0
ruotsinkielisiä,ruotsin + kielisiä,ruotsi + n + kieli + s + i + ä,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,ruotsin + kielisiä,ruotsin + kielisiä,0,0,0
Helsingissä,Helsin + gissä,Helsinki + ssä,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,Helsin + gissä,Helsin + gissä,0,0,0
suunnilleen,suunnilleen,suunnilleen,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,suun + nilleen,suunnilleen,1,0,1
työläisistä,työläi + sistä,työ + läis + i + stä,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,työläi + sistä,työläi + sistä,0,0,0
enemmistö,enemmistö,enemmistö,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,enemmistö,enemmistö,1,1,1
suomenkielisiä,suomen + kielisiä,suomi + n + kieli + s + i + ä,Helsinki,1900-luvun alussa suomen- ja ruotsinkielisiä oli Helsingissä suunnilleen yhtä paljon; työläisistä enemmistö oli suomenkielisiä.,suomen + kielisiä,suomen + kielisiä,0,0,0
Näistä,Nä + istä,tämä + i + stä,Helsinki,Näistä varsinaisia ulkomaan kansalaisia on 73 076 asukasta.,Nä + istä,Näi + stä,0,0,0
varsinaisia,varsinai + sia,varsi + nais + i + a,Helsinki,Näistä varsinaisia ulkomaan kansalaisia on 73 076 asukasta.,varsinai + sia,varsinai + sia,0,0,0
ulkomaan,ulko + maan,ulko + maa + n,Helsinki,Näistä varsinaisia ulkomaan kansalaisia on 73 076 asukasta.,ulko + maan,ulko + maan,0,0,0
kansalaisia,kansalai + sia,kansa + lais + i + a,Helsinki,Näistä varsinaisia ulkomaan kansalaisia on 73 076 asukasta.,kansalai + sia,kansalai + sia,0,0,0
asukasta,asukas + ta,asu + kas + ta,Helsinki,Näistä varsinaisia ulkomaan kansalaisia on 73 076 asukasta.,asukas + ta,asukas + ta,0,0,0
Kaupunkirakenne,Kaupunki + rakenne,kaupunki + rakenne,Helsinki,Kaupunkirakenne hajautui ja ihanteena oli luonnonläheisyys.,Kaupunki + rakenne,Kaupunkirakenne,1,1,0
hajautui,hajautu + i,hajautu + i,Helsinki,Kaupunkirakenne hajautui ja ihanteena oli luonnonläheisyys.,hajautu + i,hajautu + i,1,1,1
ihanteena,ihan + teena,ihanne + na,Helsinki,Kaupunkirakenne hajautui ja ihanteena oli luonnonläheisyys.,ihan + teena,ihan + teena,0,0,0
luonnonläheisyys,luonnon + läheisyys,luonto + n + lähe + isyys,Helsinki,Kaupunkirakenne hajautui ja ihanteena oli luonnonläheisyys.,luonnon + läheisyys,luonnon + läheisyys,0,0,0
Kuntavaalitulokset,Kuntavaalitulo + kset,kunta + vaali + tulo + kset,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,Kuntavaali + tulokset,Kuntavaalitulo + kset,0,0,0
Korruptio,Korruptio,korruptio,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,Korruptio,Korruptio,1,1,1
väärinkäytökset,väärin + käytökset,väärin + käytö + kset,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,väärin + käytökset,väärin + käytökset,0,0,0
Rakentamiseen,Rakentami + seen,rakentaminen + een,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,Rakentami + seen,Rakentami + seen,0,0,0
kaavoitukseen,kaavoitu + kseen,kaavoitus + een,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,kaavoitu + kseen,kaavoitu + kseen,0,0,0
liittyviä,liitty + viä,liittyvä + i + ä,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,liitty + viä,liitty + viä,0,0,0
rakenteellisen,rakenteelli + sen,rakenne + llise + n,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,rakenteelli + sen,rakenteelli + sen,0,0,0
korruption,korruptio + n,korruptio + n,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,korruptio + n,korruptio + n,1,1,1
esimerkkejä,esimerkk + ejä,esimerkki + j + ä,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,esimerkk + ejä,esimerkk + ejä,0,0,0
muassa,muassa,muu + ssa,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,mu + assa,muassa,0,0,0
verkostot,verkosto + t,verkosto + t,Helsinki,Kuntavaalitulokset Korruptio ja väärinkäytökset Rakentamiseen ja kaavoitukseen liittyviä rakenteellisen korruption esimerkkejä Helsingissä ovat muun muassa Hyvä veli -verkostot.,verkosto + t,verkosto + t,1,1,1
Lapsiperheiden,Lapsi + perheiden,lapsi + perhe + i + den,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,Lapsiperhe + iden,Lapsiperhe + iden,0,0,0
suosimia,suosi + mia,suosi + ma + i + a,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,suosi + mia,suosi + mia,0,0,0
nähtävyyksiä,nähtävyy + ksiä,nähtävyys + i + ä,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,nähtävyy + ksiä,nähtävyy + ksiä,0,0,0
Linnanmäen,Linnanmä + en,linna + n + mäki + n,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,Linnanmä + en,Linnanmä + en,0,0,0
huvipuisto,huvi + puisto,huvi + puisto,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,huvi + puisto,huvi + puisto,1,1,1
Korkeasaaren,Korkeasaar + en,korkea + saari + n,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,Korkeasaar + en,Korkeasaar + en,0,0,0
eläintarha,eläin + tarha,eläin + tarha,Helsinki,Lapsiperheiden suosimia nähtävyyksiä ovat Linnanmäen huvipuisto ja Korkeasaaren eläintarha.,eläin + tarha,eläin + tarha,1,1,1
Vuoden,Vuo + den,vuosi + n,Helsinki,"Vuoden 2011 lopussa Helsingin keskustaajamassa oli 1 159 211 asukasta ja sen pinta-ala oli 631,11 neliökilometriä.",Vuo + den,Vuo + den,0,0,0
lopussa,lopussa,loppu + ssa,Helsinki,"Vuoden 2011 lopussa Helsingin keskustaajamassa oli 1 159 211 asukasta ja sen pinta-ala oli 631,11 neliökilometriä.",lop + ussa,lop + ussa,0,0,0
Helsingin,Helsin + gin,Helsinki + n,Helsinki,"Vuoden 2011 lopussa Helsingin keskustaajamassa oli 1 159 211 asukasta ja sen pinta-ala oli 631,11 neliökilometriä.",Helsin + gin,Helsin + gin,0,0,0
keskustaajamassa,keskustaaja + massa,keskus + taajama + ssa,Helsinki,"Vuoden 2011 lopussa Helsingin keskustaajamassa oli 1 159 211 asukasta ja sen pinta-ala oli 631,11 neliökilometriä.",keskustaaja + massa,keskustaaja + massa,0,0,0
pintaala,pinta + ala,pinta + ala,Helsinki,"Vuoden 2011 lopussa Helsingin keskustaajamassa oli 1 159 211 asukasta ja sen pinta-ala oli 631,11 neliökilometriä.",pinta + ala,pinta + ala,1,1,1
neliökilometriä,neliö + kilometriä,neliö + kilometri + ä,Helsinki,"Vuoden 2011 lopussa Helsingin keskustaajamassa oli 1 159 211 asukasta ja sen pinta-ala oli 631,11 neliökilometriä.",neliö + kilometriä,neliö + kilometriä,0,0,0
työpaikkojen,työ + paikkojen,työ + paikka + j + en,Helsinki,Helsingin työpaikkojen suhde on palveluvaltainen.,työ + paikkojen,työ + paikkojen,0,0,0
suhde,suhde,suhde,Helsinki,Helsingin työpaikkojen suhde on palveluvaltainen.,suhde,suhde,1,1,1
palveluvaltainen,palvelu + valtainen,palvelu + valta + inen,Helsinki,Helsingin työpaikkojen suhde on palveluvaltainen.,palvelu + valtainen,palvelu + valtainen,0,0,0
metron,metro + n,metro + n,Helsinki,Helsingin metron rakentamisessa vältettiin kansainvälistä kilpailua.,metro + n,metro + n,1,1,1
rakentamisessa,rakentami + sessa,rakentaminen + ssa,Helsinki,Helsingin metron rakentamisessa vältettiin kansainvälistä kilpailua.,rakentami + sessa,rakentami + sessa,0,0,0
vältettiin,vält + ettiin,vält + ettiin,Helsinki,Helsingin metron rakentamisessa vältettiin kansainvälistä kilpailua.,vält + ettiin,vält + ettiin,1,1,1
kansainvälistä,kansain + välistä,kansa + in + väli + s + tä,Helsinki,Helsingin metron rakentamisessa vältettiin kansainvälistä kilpailua.,kansain + välistä,kansain + välistä,0,0,0
kilpailua,kilpailu + a,kilpailu + a,Helsinki,Helsingin metron rakentamisessa vältettiin kansainvälistä kilpailua.,kilpailu + a,kilpailu + a,1,1,1
Useat,Useat,usea + t,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,Usea + t,Usea + t,0,1,1
suomalaiset,suomalai + set,suomi + lais + et,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,suomalai + set,suomalai + set,0,0,0
pörssiyhtiöt,pörssi + yhtiöt,pörssi + yhtiö + t,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,pörssi + yhtiöt,pörssi + yhtiöt,0,0,0
lähes,lähes,lähes,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,lähes,lähes,1,1,1
kaikki,kaikki,kaikki,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,kaikki,kaikki,1,1,1
keskeiset,keskei + set,keski + ise + t,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,keskei + set,keskei + set,0,0,0
pankit,pank + it,pankki + t,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,pank + it,pank + it,0,0,0
vakuutusyhtiöt,vakuutus + yhtiöt,vakuutus + yhtiö + t,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,vakuutus + yhtiöt,vakuutus + yhtiöt,0,0,0
pitävät,pitä + vät,pitä + vät,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,pitä + vät,pitä + vät,1,1,1
Helsinkiä,Helsinki + ä,Helsinki + ä,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,Helsinki + ä,Helsinki + ä,1,1,1
kotipaikkanaan,koti + paikkanaan,koti + paikka + na + an,Helsinki,Useat suomalaiset pörssiyhtiöt ja lähes kaikki Suomen keskeiset pankit ja vakuutusyhtiöt pitävät Helsinkiä kotipaikkanaan.,koti + paikkanaan,koti + paikkanaan,0,0,0
Kruunuvuorenselän,Kruunuvuorensel + än,kruunu + vuori + n + selkä + n,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",Kruunuvuorenselä + n,Kruunuvuorenselä + n,0,0,0
lahtia,lahti + a,lahti + a,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",lahti + a,lahti + a,1,1,1
Eteläsatama,Eteläsatama,etelä + satama,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",Eteläsatama,Eteläsatama,0,0,0
Pohjoissatama,Pohjoissatama,pohja + is + satama,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",Pohjoissatama,Pohjoissatama,0,0,0
joiden,jo + iden,joka + i + den,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",jo + iden,jo + iden,0,0,0
välissä,välissä,väli + ssä,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",väli + ssä,väli + ssä,0,1,1
Katajanokka,Katajanokka,kataja + nokka,Helsinki,"Kruunuvuorenselän lahtia ovat Eteläsatama ja Pohjoissatama, joiden välissä on Katajanokka.",Katajanokka,Katajanokka,0,0,0
äidinkielen,äidin + kielen,äiti + n + kieli + n,Helsinki,Oman äidinkielen opetusta annetaan noin 40 kielellä.,äidin + kielen,äidin + kielen,0,0,0
opetusta,opetus + ta,opetus + ta,Helsinki,Oman äidinkielen opetusta annetaan noin 40 kielellä.,opetus + ta,opetus + ta,1,1,1
annetaan,an + netaan,anne + taan,Helsinki,Oman äidinkielen opetusta annetaan noin 40 kielellä.,an + netaan,an + netaan,0,0,0
kielellä,kiel + ellä,kieli + llä,Helsinki,Oman äidinkielen opetusta annetaan noin 40 kielellä.,kiel + ellä,kiel + ellä,0,0,0
Hyvinvointialueen,Hyvinvointialue + en,hyvin + voi + nti + alue + n,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",Hyvinvointialue + en,Hyvinvointialue + en,0,0,0
tehtäviä,tehtäv + iä,tehtävä + i + ä,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",tehtäv + iä,tehtäv + iä,0,0,0
hoitaa,hoitaa,hoita + a,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",hoitaa,hoitaa,0,0,0
kaupungin,kaupun + gin,kaupunki + n,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",kaupun + gin,kaupun + gin,0,0,0
sosiaali,sosiaali,sosiaali,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",sosiaali,sosiaali,1,1,1
terveys,terveys,terveys,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",terveys,terveys,1,1,1
pelastustoimiala,pelastus + toimiala,pelastus + toimi + ala,Helsinki,"Hyvinvointialueen tehtäviä Helsingissä hoitaa uusi Helsingin kaupungin sosiaali-, terveys- ja pelastustoimiala.",pelastus + toimiala,pelastus + toimiala,0,0,0
Kierrätykseen,Kierräty + kseen,kierrätys + een,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",Kierräty + kseen,Kierräty + kseen,0,0,0
kelpaamaton,kelpaamaton,kelpaa + maton,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",kelpaamaton,kelpaamaton,0,0,0
sekajäte,seka + jäte,seka + jäte,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",seka + jäte,seka + jäte,1,1,1
kuljetetaan,kuljet + etaan,kuljete + taan,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",kuljet + etaan,kuljet + etaan,0,0,0
Vantaan,Vantaa + n,Vantaa + n,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",Vantaa + n,Vantaa + n,1,1,1
Energian,Energia + n,energia + n,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",Energia + n,Energia + n,1,1,1
jätevoimalaan,jäte + voimalaan,jäte + voima + la + an,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",jäte + voimalaan,jäte + voimalaan,0,0,0
missä,mi + ssä,missä,Helsinki,"Kierrätykseen kelpaamaton sekajäte kuljetetaan Vantaan Energian jätevoimalaan, missä siitä tuotetaan sähköä ja kaukolämpöä.",mi + ssä,mi + ssä,0,0,0
