input	target
hyödyntää	hyödyntää
muotoilluilla	muotoill + uilla
fantasiamaailmassa	fantasia + maailmassa
Ukrainassa	Ukraina + ssa
testamenttien	testamentti + en
Tapiola-ryhmän	Tapiola + -ryhmän
PK-35:ssä	PK-35 + :ssä
backlinkkien	backlink + kien
tehokkain	tehok + kain
parissa	parissa
joukkonsa	joukko + nsa
tarkistamiseksi	tarkistami + seksi
portin	port + in
tarkastuksiin	tarkastu + ksiin
hengata	hengata
kasvattajien	kasvattaj + ien
Do	Do
perävaunuyhdistelmällä	perä + vaunuyhdistelmällä
mukauttamiseksi	mukauttami + seksi
kokonaiskuvan	kokonais + kuvan
enimmäismääriksi	enimmäis + määriksi
keskeytetyn	keskeyt + etyn
valkosuklaata	valko + suklaata
lysande	lysande
vähempiarvoinen	väh + empiarvoinen
Seinäjoelle	Seinäjo + elle
pyytänyt	pyytä + nyt
Stenbäckinkatu	Stenbäckinkatu
sekoittaa	sekoittaa
monimutkaista	monimutkai + sta
puolueille	puolue + ille
kirjeillä	kirje + illä
yhteyspisteitä	yhteys + pisteitä
luottoluokittajilta	luotto + luokittajilta
tunnusmerkkien	tunnus + merkkien
ilmestyksellä	ilmesty + ksellä
huonosti	huonosti
määritellyt	määritell + yt
anglikaanisen	anglikaani + sen
puhelutiedot	puhelu + tiedot
neuvotteluja	neuvottelu + ja
toteaakin	to + teaakin
tarkastelemme	tarkastel + emme
nykytolallaan	nyky + tolallaan
valiokunnalle	valio + kunnalle
jäsenyyteen	jäsenyy + teen
yritettäisiin	yrit + ettäisiin
alusvaatteita	alus + vaatteita
Fryygian	Fryygia + n
14,6	14,6
matadorit	matadori + t
putkassa	putka + ssa
lykkää	lyk + kää
asialleen	asia + lleen
autenttisessa	autentti + sessa
värjäytyy	värjäyty + y
tauluun	taulu + un
ura	ura
puhumasta	puhu + masta
maistraatin	maistraat + in
mustata	mustata
Orient	Orient
soolouransa	soolo + uransa
syväluotaavassa	syvä + luotaavassa
uunituore	uuni + tuore
myytyjen	myy + tyjen
paikkaamiseksi	paikkaami + seksi
yhdistymisprosessin	yhdisty + misprosessin
Северсталь-авто	Северсталь-авто
Virossa	Viro + ssa
ilmastointi	ilmastointi
vaarattomia	vaarat + tomia
birgittalaisluostari	birgittalais + luostari
retiisinpalasissa	retiisi + npalasissa
erittely	erittely
salaliittoteoreetikoiden	sala + liittoteoreetikoiden
keskuskunnassa	keskus + kunnassa
siivooja	siivooja
tornista	torni + sta
merkityksellisyyttä	merkityksellisyy + ttä
autoonsa	auto + onsa
1510	1510
täysin	täysin
seurakseen	seura + kseen
lisäinvestointeja	lisä + investointeja
rakennetaan	raken + netaan
harteille	harte + ille
puolta	puol + ta
ominaisuudet	ominaisuu + det
14,22	14,22
tapausta	tapaus + ta
karkeasti	karkeasti
raportteja	raportt + eja
kasvaa	kasvaa
kansantalouden	kansan + talouden
feedbackia	feedback + ia
puita	pu + ita
aihettaan	aihe + ttaan
lohkoina	lohko + ina
surmansa	surma + nsa
rypsiporsas	rypsi + porsas
pitkittäissuuntaisia	pitkittäis + suuntaisia
viitekehyksessä	viite + kehyksessä
katsomalla	katso + malla
pojat	po + jat
3821/85	3821/85
maustettu	maust + ettu
ylimmällä	yli + mmällä
puhutaan	puhu + taan
unohtuvat	unohtu + vat
edistyneitä	edistyn + eitä
tammikuuta	tammikuu + ta
tapauksen	tapau + ksen
neuvottomuuden	neuvottomuu + den
tosiasiallisten	tosi + asiallisten
sparrauskumppania	sparraus + kumppania
Rush	Rush
von	von
merkkejä	merkk + ejä
tuemme	tu + emme
ensisijaisia	ensisijai + sia
17.	17.
Přemysliin	Přemysl + iin
aiheutuvia	aiheutu + via
veturiin	veturi + in
kyrsä	kyrsä
aluejako	alue + jako
hysteerinen	hysteerinen
erinomainen	erinomainen
vihreästä	vihreä + stä
sinunkin	sin + unkin
velvoitteisiin	velvoit + teisiin
silikoniotsaisille	silikoni + otsaisille
oljesta	ol + jesta
Volvo-Auto	Volvo-Auto
ruuhka	ruuhka
taululla	taulu + lla
konsultin	konsult + in
suuaukoilta	suu + aukoilta
Vivendi	Vivendi
keittiömestari	keittiö + mestari
huipputiimi	huippu + tiimi
Libuše	Libuše
naistenlehteä	naisten + lehteä
taksia	taksi + a
Funet	Funet
rekisterikilpien	rekisteri + kilpien
sävy	sävy
työntekijän	työn + tekijän
vitun	vitun
yhteissumma	yhteis + summa
useasti	useasti
kiptšakkilaiset	kiptšakkilai + set
sopimukseen	sopimu + kseen
USB-kaapelin	USB + -kaapelin
hovioikeuden	hovi + oikeuden
miinaupseerille	miina + upseerille
ratkaistut	ratkais + tut
harvat	harva + t
tiedonannot	tie + donannot
arvokkaammista	arvok + kaammista
visualisointiin	visualisointi + in
tuontitullin	tuonti + tullin
tulevansa	tul + evansa
lenteleviä	len + televiä
puhuttii	puhu + ttii
CEDAW	CEDAW
kommentit	komment + it
välitunneilla	väli + tunneilla
sisällöttömyydestä	sisällöttömyy + destä
Exchangen	Exchange + n
Misery	Misery
Aleksei	Aleksei
harmitti	harmitt + i
historiallista	historialli + sta
perustuvan	perustu + van
Mirian	Mirian
turvalllisuudesta	turvall + lisuudesta
allekirjoitti	allekirjoitt + i
otsikoissa	otsik + oissa
26.78	26.78
ilmavan	ilmava + n
SM-sarjaottelua	SM + -sarjaottelua
luomasta	luo + masta
samat	sama + t
linkityksen	linkity + ksen
siirrytään	siir + rytään
http://www.climate.unsw.edu.au/bali/	http://www.climate.unsw.edu.au/bali/
opein	op + ein
alkuperämerkinnällä	alku + perämerkinnällä
toisestaan	toi + sestaan
pörheänä	pörheä + nä
Kotka	Kotka
kaikupohjan	kaiku + pohjan
tavanomaisissa	tavan + omaisissa
Roy	Roy
sensitiivisyys	sensitiivisyys
roikkuva	roikku + va
valmistelunsa	valmistelu + nsa
asettelematonta	aset + telematonta
lisättynä	lisä + ttynä
pistelivät	pistel + ivät
limanaamoiks	lima + naamoiks
muistomerkin	muisto + merkin
tyydytyksen	tyydyty + ksen
uutuudet	uutuu + det
sieraimiin	sierai + miin
odottanu	odotta + nu
vaarallisia	vaaralli + sia
useiksi	use + iksi
poliitikko	poliitikko
251	251
pistäytyvät	pistäyty + vät
seipalat	sei + palat
identiteetit	identiteet + it
kehitysyhteistyön	kehitys + yhteistyön
hyötykuorma	hyöty + kuorma
interactions	interactions
Romania	Romania
kuistin	kuisti + n
julklapp	julklapp
keltaiset	keltai + set
hyväksikäyttäjä	hyväksikäyttäjä
bassokitara	basso + kitara
ottelulle	ottelu + lle
maanantaina	maanantai + na
puheväleissä	puhe + väleissä
aluepolitiikasta	alue + politiikasta
loukkuun	loukku + un
1982–1983	1982–1983
kauheita	kauhe + ita
menestyneessä	menestyn + eessä
Portugalille	Portugali + lle
huolehdittava	huoleh + dittava
slummeissa	slumm + eissa
kulho	kulho
tölkkien	tölkki + en
P3	P3
Hietasessa	Hieta + sessa
Vladimirin	Vladimir + in
joukkoja	joukko + ja
norsunluusta	norsun + luusta
Kirsti	Kirsti
yllä	yllä
toimiluvan	toimi + luvan
uskoneet	usko + neet
maineikkailla	maineik + kailla
takoi	tako + i
kierrokselta	kierro + kselta
tiedonvaihto	tie + donvaihto
heijastukseen	heijastu + kseen
30:ssä	30 + :ssä
Agricolantutkimuksen	Agricolan + tutkimuksen
riittää	riittää
potkimassa	potki + massa
ylipapit	yli + papit
koheesiorahasto	koheesio + rahasto
kappaleensa	kappale + ensa
seulonnan	seulon + nan
määräaikaiseen	määrä + aikaiseen
yleishyödyllistä	yleis + hyödyllistä
Guinnesiin	Guinnes + iin
jalkapallovalmentaja	jalka + pallovalmentaja
myönteisistä	myöntei + sistä
kuono	kuono
salaisuuksia	salaisuu + ksia
humanistisissa	humanisti + sissa
neuvostoon	neuvosto + on
SLJY	SLJY
paratiisi	paratiisi
:)	:)
Nicolas	Nicolas
amatöörille	amatööri + lle
sivuilla	sivu + illa
Finnscandian	Finnscandia + n
Italiaa	Italia + a
1986–1991	1986–1991
tehtailtiin	tehtail + tiin
taustalle	tausta + lle
seinää	seinä + ä
karsiutuja	karsiutuja
nukuttuani	nuk + uttuani
sukupuolille	suku + puolille
vaniljajogurttia	vanilja + jogurttia
pahiten	pahiten
myydään	myydä + än
8.3.2008	8.3.2008
unelmaloman	unelma + loman
voittajaksi	voittaja + ksi
Unitedin	United + in
raksi	raksi
vaaleanpunaisia	vaalean + punaisia
katselmus	katselmus
0.4	0.4
viitata	viitata
johtopäätökseen	johto + päätökseen
Köyliössä	Köyliö + ssä
marginaalilla	marginaali + lla
velkaneuvojille	velka + neuvojille
