input	target
tərcüməm	tərcümə + m
rəhbərində	rəhbər + ində
dünyalarımı	dünya + larımı
dinozavrlarımızdan	dinozavr + larımızdan
düşünmürü	düşün + mürü
əqrəblərinizi	əqrəb + lərinizi
qardaşından	qardaş + ından
gülüşlərinə	gülüş + lərinə
qonşulara	qonşu + lara
dünyam	dünya + m
fırtınaları	fırtına + ları
sümüklərinə	sümük + lərinə
sarıdır	sarı + dır
evə	ev + ə
öpüşə	öpüş + ə
xalqadan	xalqa + dan
yemişdə	yemiş + də
qatarların	qatar + ların
alçanın	alça + nın
kişilərdə	kişi + lərdə
qəlblərinizi	qəlb + lərinizi
köməyiniz	kö + məyiniz
fəlsəfəsi	fəlsəfə + si
beynimiz	bey + nimiz
Mərasim	Mərasim
gəlmış	gəl + mış
fleytalarda	fleyta + larda
məktəblərinizdə	məktəb + lərinizdə
açarından	açar + ından
təsadüf	təsadüf
kölgələrimin	kölgə + lərimin
namazınızdan	namaz + ınızdan
kiçik	kiçik
sümüklərini	sümük + lərini
qulağımızı	qulağ + ımızı
bayquşdan	bayquş + dan
mələklərimizin	mələk + lərimizin
jasminlər	jasmin + lər
gülüşlərindən	gülüş + lərindən
skripkalara	skripka + lara
kərtənkələdə	kərtənkələ + də
hüceyrəndə	hüceyrə + ndə
otaqlara	otaq + lara
respublikaların	respublika + ların
uşaqlıqdan	uşaqlıq + dan
qəlbdə	qəlb + də
böyürtkəndə	böyürtkən + də
qulaqlardan	qulaq + lardan
dülgərlərə	dülgər + lərə
penislərə	penis + lərə
bulaqların	bulaq + ların
göyərçini	göyərçin + i
kərpicdən	kərpic + dən
otağın	otağ + ın
mədrəsəyə	mədrəsəyə
əqrəbimdən	əqrəb + imdən
fəaliyyətə	fəaliyyət + ə
qaçqını	qaçqın + ı
əriklərinizi	ərik + lərinizi
süngülərə	süngü + lərə
kölgələr	kölgə + lər
pay	pay
dilin	dil + in
sərçələri	sərçə + ləri
istifadəçinin	istifadəçi + nin
surələrə	surə + lərə
açarını	açar + ını
gözünü	göz + ünü
temperaturlarda	temperatur + larda
kilsə	kilsə
qoxunuzdan	qoxu + nuzdan
analarını	ana + larını
baldızlarda	baldız + larda
sözlüklərə	sözlük + lərə
sümüklərin	sümük + lərin
fəaliyyətlərinizin	fəaliyyət + lərinizin
brilyantı	brilyant + ı
qardaşlarda	qardaş + larda
bayquşların	bayquş + ların
buynuzlarımızdan	buynuz + larımızdan
əjdəhanı	əjdəha + nı
fəaliyyətimin	fəaliyyət + imin
bacımız	bacı + mız
süngülərim	süngü + lərim
badamda	badam + da
tülkülərdən	tülkü + lərdən
əqrəblərimdən	əqrəb + lərimdən
kəfgirlərinin	kəfgir + lərinin
buynuzlarınızı	buynuz + larınızı
açarlarımızdan	açar + larımızdan
zoğların	zoğ + ların
alətlərin	alət + lərin
işıqları	işıq + ları
onurğama	onurğa + ma
kaktusları	kaktus + ları
şaftalılarınızdan	şaftalı + larınızdan
köynəklərinizdə	köynək + lərinizdə
busəni	busə + ni
mənzərələrimdən	mənzərə + lərimdən
vəziyyətinizdən	vəziyyət + inizdən
buynuzlarımı	buynuz + larımı
məktəblərimi	məktəb + lərimi
sabunlara	sabun + lara
neçə	neçə
əjdəhalar	əjdəha + lar
ağlayacaqsınız	ağla + yacaqsınız
psixoterapiyanın	psixoterapiya + nın
sabunlarda	sabun + larda
istəyirsiniz	istə + yirsiniz
skripkaları	skripka + ları
inək	inək
müzakirələrinizə	müzakirə + lərinizə
kölgəmdə	kölgə + mdə
xərlərdən	xər + lərdən
vəziyyəti	vəziyyət + i
qonşuları	qonşu + ları
rəhbərin	rəhbər + in
hüceyrəsindən	hüceyrə + sindən
oxumamış	oxu + mamış
minbərdən	minbər + dən
bazarların	bazar + ların
dovşanı	dovşan + ı
qulağımdan	qulağ + ımdan
köməklərimizdə	kömək + lərimizdə
alçasının	alça + sının
xəzinələrimi	xəzinə + lərimi
vertolyota	vertolyot + a
pendirlərdən	pendir + lərdən
delfinin	delfin + in
şamisenə	şamisen + ə
süzgəcə	süzgəc + ə
süngülərdən	süngü + lərdən
alçamdan	alça + mdan
körpüyə	körpü + yə
ilana	ilan + a
mələklərimə	mələk + lərimə
qəlbinin	qəlb + inin
dibçəklərdə	dibçək + lərdə
əqrəbin	əqrəb + in
evdəyidi	ev + dəyidi
penisləri	penis + ləri
mahnılara	mahnı + lara
bacılarımızda	bacı + larımızda
fəlsəfələrini	fəlsəfə + lərini
geyşalarda	geyşa + larda
ətləri	ət + ləri
dirsəklərimə	dirsək + lərimə
kərtənkələdən	kərtənkələ + dən
köynəyində	köynə + yində
qulaqlarınızın	qulaq + larınızın
baltadan	balta + dan
dizlərdən	diz + lərdən
şahmatlardan	şahmat + lardan
xəri	xər + i
köynəklərinizə	köynək + lərinizə
dirsəklərim	dirsək + lərim
adın	ad + ın
çalışdı	çalış + dı
dinozavrına	dinozavr + ına
xəritəndə	xəritə + ndə
süpürgələrdən	süpürgə + lərdən
yağışların	yağış + ların
qəlbimdən	qəlb + imdən
hüceyrələri	hüceyrə + ləri
maşından	maşın + dan
köməyə	kö + məyə
fəlsəfədə	fəlsəfə + də
qardaşımızda	qardaş + ımızda
delfinlərin	delfin + lərin
kəlbətinlərin	kəlbətin + lərin
mizrabın	mizrab + ın
əqrəblərinizdə	əqrəb + lərinizdə
məktəbimdə	məktəb + imdə
göndə	gön + də
dələlərin	dələ + lərin
əqrəbinə	əqrəb + inə
xəbərin	xəbər + in
baldızlarını	baldız + larını
meyvəni	meyvə + ni
sümüklərə	sümük + lərə
qərənfili	qərənfil + i
cəsədin	cəsəd + in
məktəblərə	məktəb + lərə
mismarları	mismar + ları
dalğıclardan	dalğıc + lardan
gəmilərə	gəmi + lərə
psixoterapiyaların	psixoterapiya + ların
mənzərələrini	mənzərə + lərini
tısbağaları	tısbağa + ları
qəlbində	qəlb + ində
xəzinəndən	xəzinə + ndən
od	od
dırnağımıza	dırnağ + ımıza
zəfəranlara	zəfəran + lara
ağacın	ağac + ın
rəndə	rəndə
hörümçəyimizin	hörümçə + yimizin
kəfgirlərin	kəfgir + lərin
bacıların	bacı + ların
qəlblərim	qəlb + lərim
kəfgirinin	kəfgir + inin
tərcüməmiz	tərcümə + miz
yaquarlardan	yaquar + lardan
tərcüməndə	tərcümə + ndə
boyalarda	boya + larda
açarı	açar + ı
xəritəsindən	xəritə + sindən
gözə	göz + ə
söyüdlərə	söyüd + lərə
istifadəçiyə	istifadəçi + yə
bitkini	bitki + ni
göydələnlərin	göydələn + lərin
da	da
mismarlar	mismar + lar
qardaşda	qardaş + da
sivilizasiyada	sivilizasiya + da
vazanın	vaza + nın
alçalarını	alça + larını
hörümçəklərinizə	hörümçək + lərinizə
kəfgiriniz	kəfgir + iniz
mahnıda	mahnı + da
əqrəbimiz	əqrəb + imiz
fəlsəfənin	fəlsəfə + nin
nəfəslərin	nəfəs + lərin
əqrəblərinizin	əqrəb + lərinizin
maşında	maşın + da
qalibiyyətin	qalibiyyət + in
düşməndə	düşmən + də
alətimdən	alət + imdən
düşmanınızdan	düşman + ınızdan
günlərdə	gün + lərdə
analara	ana + lara
südlərdə	süd + lərdə
üzümlərə	üzüm + lərə
heç	heç
oğraşın	oğraş + ın
axşamın	axşam + ın
dondurmalardan	dondurma + lardan
gözləyirəm	gözlə + yirəm
eləmişdi	elə + mişdi
vəziyyətimə	vəziyyət + imə
dayanacaqlardan	dayanacaq + lardan
arxivlərindən	arxiv + lərindən
meymundan	meymun + dan
tamam	tamam
beyinləri	beyin + ləri
təyyarədə	təyyarə + də
uşaqlıqlarıma	uşaqlıq + larıma
kraliçasını	kraliça + sını
şaftalısının	şaftalı + sının
köpəklərdə	köpək + lərdə
otaqdan	otaq + dan
vertolyotları	vertolyot + ları
kraliçalarınızda	kraliça + larınızda
kəfgirlərinizdə	kəfgir + lərinizdə
xəritəmizdən	xəritə + mizdən
xəzinələrinizi	xəzinə + lərinizi
gülüşünüzün	gülüş + ünüzün
eləmişimiş	elə + mişimiş
Ayhana	Ayhan + a
sümüklərdə	sümük + lərdə
düşmənindən	düşmən + indən
sümüyünü	sümü + yünü
vertolyotlarda	vertolyot + larda
müzakirəmə	müzakirə + mə
rəhbərlərin	rəhbər + lərin
dovşanlara	dovşan + lara
yemişlərimdə	yemiş + lərimdə
canlarda	can + larda
dalğanı	dalğa + nı
nəticələrə	nəticə + lərə
qalibiyyətlərə	qalibiyyət + lərə
dalğalarıma	dalğa + larıma
odlara	od + lara
tərcümələrimizin	tərcümə + lərimizin
quşlarda	quş + larda
süpürgəni	süpürgə + ni
geyşaları	geyşa + ları
mələyindən	mələ + yindən
motosikleti	motosiklet + i
alçamın	alça + mın
düşmanlarınız	düşman + larınız
bıçaqlara	bıçaq + lara
şkafları	şkaf + ları
axşamlardan	axşam + lardan
fəlsəfələrinə	fəlsəfə + lərinə
günbəzdə	günbəz + də
xloroplastların	xloroplast + ların
gözümün	göz + ümün
beyni	bey + ni
xəritəmin	xəritə + min
dələyə	dələ + yə
ağacdələndə	ağacdələn + də
temperaturlardan	temperatur + lardan
geodeziyadan	geodeziya + dan
fırtınada	fırtına + da
yarasanı	yarasa + nı
qulaqlarınızda	qulaq + larınızda
okeandan	okean + dan
incəsənətlərdə	incəsənət + lərdə
şaftalılarımızdan	şaftalı + larımızdan
günəbaxanları	günəbaxan + ları
fırtınalarda	fırtına + larda
yəhudiləri	yəhudi + ləri
Parisdə	Paris + də
süngülərdə	süngü + lərdə
rəngləyəcək	rənglə + yəcək
tərcüməniz	tərcümə + niz
xəritəm	xəritə + m
yemişim	yemiş + im
temperatur	temperatur
dünyama	dünya + ma
əriklərimizin	ərik + lərimizin
namazımızdan	namaz + ımızdan
pendirdən	pendir + dən
bacının	bacı + nın
ağaclardan	ağac + lardan
kəpənəkləri	kəpənək + ləri
köməyimizin	kö + məyimizin
oyuncağa	oyuncağ + a
ərdən	ər + dən
güləcək	gül + əcək
dinozavrlarınız	dinozavr + larınız
kağızları	kağız + ları
yemişlərin	yemiş + lərin
kölgələrə	kölgə + lərə
ağacda	ağac + da
yox	yox
məktəblərimizdə	məktəb + lərimizdə
bazar	bazar
bilir	bil + ir
baldızım	baldız + ım
intixab	intixab
oturacaqsan	otur + acaqsan
zoğa	zoğ + a
delfini	delfin + i
biçinlər	biçin + lər
anamıza	ana + mıza
süngünü	süngü + nü
süngülərinizi	süngü + lərinizi
namazlarının	namaz + larının
hörümçəklərinə	hörümçək + lərinə
dizlər	diz + lər
dalğamda	dalğa + mda
namazımız	namaz + ımız
qəlblərinin	qəlb + lərinin
quşun	quş + un
xəritələrimizdən	xəritə + lərimizdən
dəyildi	dəyil + di
əriklərimizə	ərik + lərimizə
fəlsəfələrinizin	fəlsəfə + lərinizin
isimlərdə	isim + lərdə
buynuzumuzdan	buynuz + umuzdan
qələbəyə	qələbə + yə
həqiqətlərə	həqiqət + lərə
hüceyrələrimizdən	hüceyrə + lərimizdən
ağlayacaq	ağla + yacaq
buynuzlarınız	buynuz + larınız
dolabdan	dolab + dan
addan	ad + dan
mənzərələrdə	mənzərə + lərdə
zoğlarda	zoğ + larda
müzakirələrinizi	müzakirə + lərinizi
öndə	ön + də
qardaşıma	qardaş + ıma
bürclərə	bürc + lərə
etdirməliyik	et + dirməliyik
namazlarımı	namaz + larımı
köynəklərində	köynək + lərində
rəhbərinin	rəhbər + inin
arxivlərimizdən	arxiv + lərimizdən
qaçır	qaç + ır
alçalarından	alça + larından
minbərləri	minbər + ləri
qoxusundan	qoxu + sundan
alça	alça
analarımın	ana + larımın
kəpənəklərə	kəpənək + lərə
qəlbdən	qəlb + dən
məktəblərinizin	məktəb + lərinizin
mələklərimizdən	mələk + lərimizdən
baldızlarıma	baldız + larıma
kağızı	kağız + ı
dalğalarda	dalğa + larda
beyinlərimizi	beyin + lərimizi
zəfəranları	zəfəran + ları
xəncərlərdə	xəncər + lərdə
ağlayıram	ağla + yıram
ayaqlara	ayaq + lara
ovçularda	ovçu + larda
onurğalarımızdan	onurğa + larımızdan
kölgəsinə	kölgə + sinə
alçamızı	alça + mızı
yarasalardan	yarasa + lardan
dalğasına	dalğa + sına
xəbərdə	xəbər + də
alovları	alov + ları
penislərimdə	penis + lərimdə
eşşəklərin	eşşək + lərin
süpürgələri	süpürgə + ləri
müqayisələrin	müqayisə + lərin
adlarda	ad + larda
istifadəçilərin	istifadəçi + lərin
donuzun	donuz + un
dirsəklərdən	dirsək + lərdən
süngülərimizdə	süngü + lərimizdə
bürcdən	bürc + dən
xəzinəm	xəzinə + m
fəaliyyətinin	fəaliyyət + inin
namazım	namaz + ım
buluddan	bulud + dan
fəlsəfələrimizdə	fəlsəfə + lərimizdə
fəaliyyət	fəaliyyət
dəvəquşunu	dəvəquşu + nu
sevgilərin	sevgi + lərin
böyürtkənin	böyürtkən + in
fakültənin	fakültə + nin
penisində	penis + ində
həftələrdə	həftə + lərdə
cürləməliydi	cürləmə + liydi
əjdəhada	əjdəha + da
mehrablar	mehrab + lar
gözündən	göz + ündən
onurğamız	onurğa + mız
bilmiş	bil + miş
kitabxanda	kitabxan + da
dalğıcda	dalğıc + da
üzlərdə	üz + lərdə
buynuzları	buynuz + ları
pilləkənlərə	pilləkən + lərə
çiçəklərin	çiçək + lərin
dirsəklərə	dirsək + lərə
fəaliyyətlərinizdən	fəaliyyət + lərinizdən
çata	çata
rəssamları	rəssam + ları
beyniniz	bey + niniz
mizrablarda	mizrab + larda
ovçu	ovçu
gözünüzü	göz + ünüzü
qalibiyyətlərdə	qalibiyyət + lərdə
köməklərinizi	kömək + lərinizi
rəssama	rəssam + a
kərgədanın	kərgədan + ın
tələbələrinizə	tələbə + lərinizə
şənbənin	şənbə + nin
kişidən	kişi + dən
amfiteatra	amfiteatr + a
əriyimdən	əri + yimdən
köynəklərimizdə	köynək + lərimizdə
Bazarda	Bazar + da
kölgələrində	kölgə + lərində
çəyirtkənin	çəyirtkə + nin
dırnağım	dırnağ + ım
rəhbərlərimiz	rəhbər + lərimiz
qapılar	qapı + lar
kölgənizə	kölgə + nizə
dəvəyə	dəvə + yə
minarə	minarə
ereksiyalar	ereksiya + lar
xəncərlərə	xəncər + lərə
bıçaqlarımızın	bıçaq + larımızın
maşını	maşın + ı
təzyiqin	təzyiq + in
dildə	dil + də
sümüyünüzü	sümü + yünüzü
pianolara	piano + lara
kitabxanalarda	kitabxana + larda
uşaqlığının	uşaqlığ + ının
oraqdan	oraq + dan
qarışqalardan	qarışqa + lardan
portağalların	portağal + ların
tətil	tətil
siçanlara	siçan + lara
xəbər	xəbər
dayanacağın	dayanacağ + ın
dalğalarınızı	dalğa + larınızı
alətlərimizdən	alət + lərimizdən
süngümüzü	süngü + müzü
alçalarımızdan	alça + larımızdan
tələbəsini	tələbə + sini
arxivləri	arxiv + ləri
penisimdən	penis + imdən
rəhbərlərimizdə	rəhbər + lərimizdə
qulağından	qulağ + ından
yata	yat + a
psixoterapiyalar	psixoterapiya + lar
pendirləri	pendir + ləri
qardaşlarıma	qardaş + larıma
işığı	işığ + ı
müsabiqədə	müsabiqə + də
keçilərin	keçi + lərin
kraliçamız	kraliça + mız
yemişiniz	yemiş + iniz
qarpızların	qarpız + ların
uşaqlıqlarını	uşaqlıq + larını
müzakirəsini	müzakirə + sini
surələrin	surə + lərin
fahişə	fahişə
hörümçəyimizdən	hörümçə + yimizdən
qaranquşda	qaranquş + da
onurğalarına	onurğa + larına
dalğamdan	dalğa + mdan
bacıda	bacı + da
fəlsəfəsini	fəlsəfə + sini
cümələrin	cümə + lərin
kərgədanları	kərgədan + ları
tarixlərin	tarix + lərin
