input	target
alətinizdə	alət + inizdə
ulurmuş	ulu + rmuş
düşman	düşman
yoldaşlar	yoldaş + lar
dənizlərdə	dəniz + lərdə
bahsederler	bahsed + erler
vazam	vaza + m
zurnalarınıza	zurna + larınıza
mukavemetten	mukavemet + ten
bülbüllərin	bülbül + lərin
kılmalıydım	kıl + malıydım
qızılgüllərdən	qızılgül + lərdən
kırdırmışmışsın	kırdır + mışmışsın
Prayer	Prayer
beyninizə	bey + ninizə
önemimizden	önem + imizden
köynəklər	köynək + lər
kərpicə	kərpic + ə
sagalarımıza	saga + larımıza
mizrablar	mizrab + lar
sinirlendirmeyecekti	sinirlendir + meyecekti
bayquşlara	bayquş + lara
sümüklərini	sümük + lərini
similyalarımıza	similya + larımıza
dodaqlara	dodaq + lara
dəmirləri	dəmir + ləri
kovdurtuyormuşuz	kovdurt + uyormuşuz
kapmıyorlardı	kap + mıyorlardı
kromozomlarımıza	kromozom + larımıza
pişerdin	piş + erdin
bozbaşlara	bozbaş + lara
dönemini	dönem + ini
dinlərdə	din + lərdə
Kopenhaglısına	Kopenhaglı + sına
izlemişsiniz	izle + mişsiniz
şaftalılarının	şaftalı + larının
kölgən	kölgə + n
əriyi	əri + yi
mahnı	mahnı
zəfər	zəfər
arxiviniz	arxiv + iniz
futbolçunu	futbolçu + nu
vertolyotların	vertolyot + ların
yermişti	yer + mişti
ayaqda	ayaq + da
qanlarda	qan + larda
öldürtüleceksiniz	öldürtül + eceksiniz
gitarlarımızı	gitar + larımızı
öndə	ön + də
vəziyyət	vəziyyət
karantinalarda	karantina + larda
taykonotlardınız	taykonot + lardınız
öğütmedik	öğüt + medik
fəaliyyətinizin	fəaliyyət + inizin
ər	ər
rubaiye	rubai + ye
varırmışsınız	var + ırmışsınız
yelekleriniz	yelek + leriniz
deriyormuşsunuz	der + iyormuşsunuz
zurnasından	zurna + sından
tərcümələrimdə	tərcümə + lərimdə
feodalite	feodalite
mananızdan	mana + nızdan
sünnətləri	sünnət + ləri
çıkmıyorlardı	çık + mıyorlardı
leşyeyənlər	leşyeyən + lər
oxlar	ox + lar
mələyə	mələ + yə
klavyemizden	klavye + mizden
hüceyrəmizdən	hüceyrə + mizdən
pisletmeliydik	pislet + meliydik
bülbüllərdə	bülbül + lərdə
lisanımızda	lisan + ımızda
dünyasının	dünya + sının
kotlarınıza	kot + larınıza
ablaydık	abla + ydık
ömründen	öm + ründen
fəlsəfəmə	fəlsəfə + mə
bardaklara	bardak + lara
alışmayacakmışım	alış + mayacakmışım
başarmamışlardı	başar + mamışlardı
ölçüşecekmişiz	ölçüş + ecekmişiz
çan	çan
puanlarda	puan + larda
patenlerimizden	paten + lerimizden
arınıyordu	arın + ıyordu
bacılarınızın	bacı + larınızın
kusması	kusma + sı
uyarmayacaktım	uyar + mayacaktım
ecelerim	ece + lerim
genelevinin	genelev + inin
beyinləriniz	beyin + ləriniz
cevaba	cevab + a
tərkidə	tərk + idə
xəritələrimi	xəritə + lərimi
sıradandım	sıradan + dım
topiğinizde	topiğ + inizde
koşabilen	koş + abilen
yolculukları	yolculuk + ları
babam	baba + m
atıştırmamışız	atıştır + mamışız
devirlerinize	devir + lerinize
oraqların	oraq + ların
yağış	yağış
teklifim	teklif + im
dünyamdan	dünya + mdan
öldürtülürüz	öldürtül + ürüz
tərcümədə	tərcümə + də
göbəklərə	göbək + lərə
eşyanızın	eşya + nızın
birlikteliklerimizden	birliktelik + lerimizden
tələbəmdən	tələbə + mdən
saqqaldan	saqqal + dan
lezzetinizden	lezzet + inizden
bürümeyecekmişsiniz	bürü + meyecekmişsiniz
xəritələrimizə	xəritə + lərimizə
xəbərin	xəbər + in
qardaşlarımızda	qardaş + larımızda
yayaymış	yaya + ymış
alətlərin	alət + lərin
dirsəyimə	dirsə + yimə
qalibiyyət	qalibiyyət
seyretmedim	seyret + medim
şkafda	şkaf + da
axış	axış
qardaşımı	qardaş + ımı
ürümeyecekmişim	ürü + meyecekmişim
pedlerinizden	ped + lerinizden
bayrağa	bayrağ + a
təkamulları	təkamul + ları
qaçdın	qaç + dın
mənzərənizə	mənzərə + nizə
dökük	dökük
ağlaşır	ağlaş + ır
makarnanızı	makarna + nızı
arzuhalcini	arzuhalci + ni
otostopçuydunuz	otostopçu + ydunuz
göndermeyecekmişsin	gönder + meyecekmişsin
mənzərəsinə	mənzərə + sinə
sərçələr	sərçə + lər
birleştirtirmişsin	birleştirt + irmişsin
narlar	nar + lar
məktəbinizi	məktəb + inizi
hinduşkanın	hinduşka + nın
idaresi	idare + si
bükülmenizin	bükülme + nizin
badımcanlardan	badımcan + lardan
qaçdıq	qaç + dıq
bıçaqlarına	bıçaq + larına
lüğəti	lüğət + i
penisimizə	penis + imizə
mənzərəsini	mənzərə + sini
rənglədiniz	rənglə + diniz
ninnimiz	ninni + miz
uyuyor	uyu + yor
anasona	anason + a
Kuran	Kuran
eğlenmemelisin	eğlen + memelisin
dirsəyinizi	dirsə + yinizi
öneren	öner + en
gözündən	göz + ündən
aylara	ay + lara
isimlərin	isim + lərin
içəcəyəm	iç + əcəyəm
koklamaz	kokla + maz
sararmamelisiniz	sarar + mamelisiniz
alçalar	alça + lar
ayaqlara	ayaq + lara
mələyimizə	mələ + yimizə
gezecekmişsiniz	gez + ecekmişsiniz
dırnaqlarınıza	dırnaq + larınıza
kaçıracaktım	kaçır + acaktım
oxumamış	oxu + mamış
kalmamışlarmış	kal + mamışlarmış
gebermeyecektik	geber + meyecektik
taşır	taşı + r
süngülərinin	süngü + lərinin
dinozavrımın	dinozavr + ımın
değirmenimizi	değirmen + imizi
cezalandıracaklarmış	cezalandır + acaklarmış
kitablarda	kitab + larda
xəritələrdə	xəritə + lərdə
heyecanlanmamalıymış	heyecanlan + mamalıymış
yaptırtmayacaklardı	yaptırt + mayacaklardı
arınmalıymış	arın + malıymış
gecələrdə	gecə + lərdə
nəfəslərdə	nəfəs + lərdə
ensiklopediyaya	ensiklopediya + ya
nişanlılarmış	nişanlı + larmış
yendirmemelilermiş	yendir + memelilermiş
mələyə	mələ + yə
parasal	parasal
yemişlərimdə	yemiş + lərimdə
minarələrin	minarə + lərin
gülüşdə	gülüş + də
yemişinizdən	yemiş + inizdən
dizini	dizi + ni
osminoqun	osminoq + un
əqrəbinin	əqrəb + inin
Nəməyə	Nəmə + yə
belleklerinden	bellek + lerinden
mizrabların	mizrab + ların
mihraplar	mihrap + lar
analarımızı	ana + larımızı
güzelleştirmiyorduk	güzelleştir + miyorduk
tosbağamızı	tosbağa + mızı
baldızlarımızı	baldız + larımızı
gülüşlərə	gülüş + lərə
girmeliymiş	gir + meliymiş
kraliçalarınızın	kraliça + larınızın
matçları	matç + ları
rüyalarımıza	rüya + larımıza
ereksiyamızda	ereksiya + mızda
dinozavrlarında	dinozavr + larında
qaçırsınız	qaç + ırsınız
bilmesine	bil + mesine
notiluslardan	notilus + lardan
körfezlerimizin	körfez + lerimizin
kaset	kaset
quşun	quş + un
süngü	süngü
canlandırıldım	canlandırıl + dım
meymuna	meymun + a
tekfurmuşum	tekfur + muşum
katmamışmışım	kat + mamışmışım
şirkətdə	şirkət + də
pomidorun	pomidor + un
yalvarmazsın	yalvar + mazsın
fəlsəfədə	fəlsəfə + də
mutfaklarımızda	mutfak + larımızda
dünyamız	dünya + mız
alətindən	alət + indən
namazın	namaz + ın
köməklərimə	kömək + lərimə
yardımı	yardım + ı
dayanır	dayan + ır
Alandüz	Alandüz
birliklərdə	birlik + lərdə
bozbaş	bozbaş
tipte	tip + te
yoğurmamelisiniz	yoğur + mamelisiniz
videosunu	video + sunu
baldızımı	baldız + ımı
bluzlularınız	bluzlu + larınız
gönlərdən	gön + lərdən
uyumamışsınız	uyu + mamışsınız
heyecanlanıyorum	heyecanlan + ıyorum
uşaqlığında	uşaqlığ + ında
bazmışsın	baz + mışsın
boyanın	boya + nın
itilmiştin	itil + miştin
yarmıyordum	yar + mıyordum
kovdurmayacaksın	kovdur + mayacaksın
kümestik	kümes + tik
ayılır	ayıl + ır
maratonculardır	maratoncu + lardır
gözlərinin	göz + lərinin
qəlbinizdə	qəlb + inizdə
lezzetinden	lezzet + inden
taşımamış	taşı + mamış
məktəblər	məktəb + lər
yetmelilermiş	yet + melilermiş
vəziyyətinin	vəziyyət + inin
kurtarmıyor	kurtar + mıyor
vəziyyətlərdə	vəziyyət + lərdə
mənzərələrinizdən	mənzərə + lərinizdən
okeandan	okean + dan
gül	gül
sirkimizden	sirk + imizden
mızraplara	mızrap + lara
karplara	karp + lara
xəzinə	xəzinə
müsabiqələrdə	müsabiqə + lərdə
yoğuracak	yoğur + acak
ensiklopediyaya	ensiklopediya + ya
portlarımıza	port + larımıza
geriyordum	ger + iyordum
ovçunu	ovçu + nu
deistten	deist + ten
kaslardan	kas + lardan
kazanacaktın	kazan + acaktın
tələbələrin	tələbə + lərin
satışlarmışsın	satış + larmışsın
alovlarda	alov + larda
qoxu	qoxu
şerbetçiliklerimizde	şerbetçilik + lerimizde
bəbəklərdə	bəbək + lərdə
satılmalıydım	satıl + malıydım
kerevizlerden	kereviz + lerden
dalgalandıracaksınız	dalgalandır + acaksınız
mətbəxlərdən	mətbəx + lərdən
kəfgirlərimizdən	kəfgir + lərimizdən
düşünmemişlerdi	düşün + memişlerdi
mutfağımıza	mutfağ + ımıza
qırmız	qırmız
sınamadıydık	sına + madıydık
bölmediydi	böl + mediydi
penislərimə	penis + lərimə
lordlar	lord + lar
qəlblərimizdən	qəlb + lərimizdən
muzeylərə	muzey + lərə
müqayisədə	müqayisə + də
çömçəquyruğun	çömçəquyruğ + un
quyruğa	quyruğ + a
titremezmişsin	titre + mezmişsin
beyinlərimiz	beyin + lərimiz
dalğaya	dalğa + ya
otumuza	ot + umuza
texnologiyadan	texnologiya + dan
yolundurtuyorsunuz	yolundurt + uyorsunuz
bitirirmişsin	bitir + irmişsin
özünüidarəetmələrdə	özünüidarəetmə + lərdə
qardaş	qardaş
monarşide	monarşi + de
getirmezsin	getir + mezsin
mənzərəsini	mənzərə + sini
bulamıyorlar	bula + mıyorlar
vermeliymişim	ver + meliymişim
peçetesinin	peçete + sinin
söbhlər	söbh + lər
yorumlarınıza	yorum + larınıza
yasanızdan	yasa + nızdan
anacaklarmış	an + acaklarmış
məktəbimə	məktəb + imə
tatlıymışım	tatlı + ymışım
ədəbiyyatdan	ədəbiyyat + dan
devrin	dev + rin
kakardı	kak + ardı
topluyorlarmış	topl + uyorlarmış
motosikletlərin	motosiklet + lərin
migrenler	migren + ler
kaçaklarınıza	kaçak + larınıza
bayraqda	bayraq + da
karplarda	karp + larda
bıçaqda	bıçaq + da
susmazlar	sus + mazlar
şaşırtmazlardı	şaşırt + mazlardı
âmânızın	âmâ + nızın
yumurtalıklardan	yumurtalık + lardan
dırnaqlarımızdan	dırnaq + larımızdan
dəvəquşlarını	dəvəquş + larını
patenlerinin	paten + lerinin
efsunlarımızdan	efsun + larımızdan
böyürtkəndən	böyürtkən + dən
kavramlarla	kavram + larla
taramadılar	tara + madılar
hörümçəyi	hörümçə + yi
yoldan	yol + dan
dirilmeyiniz	dirilme + yiniz
fakirleştirmezdiniz	fakirleştir + mezdiniz
kovduruyordun	kovdur + uyordun
jetoncu	jetoncu
müsabiqələr	müsabiqə + lər
benzemediydiniz	benze + mediydiniz
çapınızdan	çap + ınızdan
kullanılır	kullanıl + ır
vişneniz	vişne + niz
doldurulan	dol + durulan
adalardan	ada + lardan
dırnağından	dırnağ + ından
bulaqlardan	bulaq + lardan
totemciliğinize	totemciliğ + inize
qoxulardan	qoxu + lardan
programlanmalıydı	programlan + malıydı
ummuşuz	um + muşuz
analarımızın	ana + larımızın
buzlar	buz + lar
çevremizde	çevre + mizde
homurtumuzdan	homurtu + muzdan
aktörlerini	aktör + lerini
kandilinin	kandil + inin
gülürsünüz	gül + ürsünüz
xəzinəsindən	xəzinə + sindən
kölgəsini	kölgə + sini
itmemeliymiş	it + memeliymiş
düşmanlarımızın	düşman + larımızın
dadanmazmış	dadan + mazmış
alışınız	alış + ınız
farkı	fark + ı
böyrəyin	böyrə + yin
gütmemişsin	güt + memişsin
qələbəyə	qələbə + yə
tarixlərin	tarix + lərin
eşiklerimizde	eşik + lerimizde
söyüdlərin	söyüd + lərin
alevi	alev + i
tutkusu	tutku + su
delmeliydin	del + meliydin
namə	namə
donuz	donuz
qulaqlarını	qulaq + larını
sabunlardan	sabun + lardan
baharda	bahar + da
saklanmalıymışız	saklan + malıymışız
hayırseverimizde	hayırsever + imizde
mənzərələr	mənzərə + lər
balta	balta
elə	elə
uyanmıyordun	uyan + mıyordun
tanıtmadıydınız	tanıt + madıydınız
cəsədlərə	cəsəd + lərə
dağları	dağ + ları
verdirtme	verdirt + me
respublikanın	respublika + nın
tavernayı	taverna + yı
vermeyeceklerdi	ver + meyeceklerdi
qaçqınları	qaçqın + ları
müsabiqələrin	müsabiqə + lərin
yitmezdin	yit + mezdin
açarlara	açar + lara
getirecekmişsin	getir + ecekmişsin
ayağa	ayağ + a
ağacdələn	ağacdələn
imajını	imaj + ını
yoksullaştırmamıştı	yoksullaştır + mamıştı
bozanızı	boza + nızı
vazalarını	vaza + larını
anasında	ana + sında
qulaqlarının	qulaq + larının
qulaqlarıma	qulaq + larıma
damlamayacaksınız	damla + mayacaksınız
sümürdüydün	sümür + düydün
tabanımızı	taban + ımızı
amfiteatrlar	amfiteatr + lar
kraliçamıza	kraliça + mıza
sözlük	sözlük
kərpici	kərpic + i
istemişmişsiniz	iste + mişmişsiniz
penis	penis
ördəkdə	ördək + də
alçamız	alça + mız
kullarmışsınız	kul + larmışsınız
sərçələrdə	sərçə + lərdə
keçi	keçi
pişmemiş	piş + memiş
dəvələri	dəvə + ləri
düşmanlarınız	düşman + larınız
11.	11 + .
platformunuzu	platform + unuzu
təbiətin	təbiət + in
bitirtmezsiniz	bitirt + mezsiniz
şaftalılarınızın	şaftalı + larınızın
pamuğunuz	pamuğ + unuz
düşərgələr	düşərgə + lər
önlərə	ön + lərə
qardaşıynan	qardaş + ıynan
çürümüşlermiş	çürü + müşlermiş
batmamalıydın	bat + mamalıydın
yüzeylerimizi	yüzey + lerimizi
bitimden	bitim + den
fezleke	fezleke
dovşanı	dovşan + ı
qoxulara	qoxu + lara
xəritələrə	xəritə + lərə
istiyorlardı	ist + iyorlardı
eksikliğimizin	eksikliğ + imizin
xəzinələrimizə	xəzinə + lərimizə
dırnaqları	dırnaq + ları
sahifenize	sahife + nize
şənbədən	şənbə + dən
güləcəksən	gül + əcəksən
kurbağanız	kurbağa + nız
düşmanlarınıza	düşman + larınıza
geodeziya	geodeziya
günlərdə	gün + lərdə
mələyindən	mələ + yindən
davranışçılığımızda	davranışçılığ + ımızda
dolmalıydım	dol + malıydım
göldən	göl + dən
koşucusun	koşucu + sun
qarğanı	qarğa + nı
vertolyotda	vertolyot + da
ağladım	ağla + dım
amcamıza	amca + mıza
öndə	ön + də
dalğıcın	dalğıc + ın
dizlər	diz + lər
anlamsız	anlam + sız
xəzinələrim	xəzinə + lərim
namazlarınıza	namaz + larınıza
çürümemişsin	çürü + memişsin
süngülərim	süngü + lərim
canlanılıyorduk	canlanıl + ıyorduk
çekmecemize	çekmece + mize
cihazında	cihaz + ında
çağırmamış	çağır + mamış
sarımsağın	sarımsağ + ın
cəsədə	cəsəd + ə
zəfəranın	zəfəran + ın
kasmazmışım	kas + mazmışım
baldızım	baldız + ım
bölmemiştin	böl + memiştin
ettirmemeliymişiz	ettir + memeliymişiz
yazılar	yazı + lar
xəncərlərdən	xəncər + lərdən
elmasınızdan	elmas + ınızdan
kağıza	kağız + a
pomidorlar	pomidor + lar
koşulmayacakmışsınız	koşul + mayacakmışsınız
yemişdən	yemiş + dən
dağıtsam	dağıt + sam
kaçardık	kaç + ardık
duymamamız	duymama + mız
kompüterlər	kompüter + lər
hırsızlarsın	hırsız + larsın
köynəkdə	köynək + də
kefalların	kefal + ların
ortalardı	orta + lardı
müqayisələrdən	müqayisə + lərdən
osminoqları	osminoq + ları
qaloşdan	qaloş + dan
rəhbərlərimizə	rəhbər + lərimizə
ereksiyalarımıza	ereksiya + larımıza
bilemiyorsun	bile + miyorsun
fəaliyyətlərimizdə	fəaliyyət + lərimizdə
tarihçilerden	tarihçi + lerden
ispatlardınız	ispatla + rdınız
antioksidanlardan	antioksidan + lardan
qəlblərimdə	qəlb + lərimdə
eğlencesin	eğlence + sin
üretmek	üre + tmek
günəbaxandan	günəbaxan + dan
konserleri	konser + leri
körpülərə	körpü + lərə
uyuyordun	uy + uyordun
donuzları	donuz + ları
kazalarınızın	kaza + larınızın
buynuzundan	buynuz + undan
əjdahalar	əjdaha + lar
abisi	abi + si
sapanlardır	sapan + lardır
dolmamışız	dol + mamışız
qoxumuzdan	qoxu + muzdan
penisinizə	penis + inizə
gülünçleşmişmişsiniz	gülünçleş + mişmişsiniz
zəlzələləri	zəlzələ + ləri
dirsəyinizi	dirsə + yinizi
fəlsəfənə	fəlsəfə + nə
xəritələrə	xəritə + lərə
vazaya	vaza + ya
albatrosumuzu	albatros + umuzu
lunaparklarınıza	lunapark + larınıza
kibutzlarında	kibutz + larında
canavardan	canavar + dan
alçama	alça + ma
brokolileriniz	brokoli + leriniz
şimaliniz	şimal + iniz
vəziyyətlərində	vəziyyət + lərində
baldızlarımda	baldız + larımda
yaptırıyordu	yaptır + ıyordu
bıçaqlarımızda	bıçaq + larımızda
rastlanır	rastla + nır
kanacaklarmış	kan + acaklarmış
aşiretlerinizde	aşiret + lerinizde
üzüldünüz	üzül + dünüz
xəritələrdə	xəritə + lərdə
mənzərəmizdə	mənzərə + mizdə
uşaqlıqların	uşaqlıq + ların
yaklaşıyormuşsun	yaklaş + ıyormuşsun
zamanlarımız	zaman + larımız
köpüklər	köpük + lər
20	20
anamın	ana + mın
canlandırılmameliyim	canlandırıl + mameliyim
qaçırıq	qaç + ırıq
köpüklərdə	köpük + lərdə
pişirdin	pişir + din
dağıtmamalıydık	dağıt + mamalıydık
məktəbimizdə	məktəb + imizdə
odlarda	od + larda
düzeceğim	düz + eceğim
dənizdən	dəniz + dən
ərlərdə	ər + lərdə
cəsəddən	cəsəd + dən
saklamayacaktım	sakla + mayacaktım
təzyiqləri	təzyiq + ləri
nedimemizden	nedime + mizden
vazasının	vaza + sının
alətlərimiz	alət + lərimiz
süsmemiş	süs + memiş
ağaçkakanımızdan	ağaçkakan + ımızdan
öfkelendirmiyorlarmış	öfkelendir + miyorlarmış
köməyinizi	kö + məyinizi
dondurmada	dondurma + da
fəaliyyətimi	fəaliyyət + imi
uşaqlığımı	uşaqlığ + ımı
gönlərin	gön + lərin
jurnalistlərə	jurnalist + lərə
kirişlerinizde	kiriş + lerinizde
tələbəmizin	tələbə + mizin
kartopu	kartopu
örtmezsin	ört + mezsin
arxivlərimə	arxiv + lərimə
sönmemişsiniz	sön + memişsiniz
yazmalıydık	yaz + malıydık
izlekten	izlek + ten
büktürtürüm	büktürt + ürüm
kap	kap
alındırtacaksınız	alındırt + acaksınız
düzen	düzen
ereksiya	ereksiya
programlanırdık	programlan + ırdık
sevkiyatlarında	sevkiyat + larında
sikmeyiniz	sik + meyiniz
fəlsəfələrinizi	fəlsəfə + lərinizi
kötüleştirirmişim	kötüleştir + irmişim
kapamıyordun	kapa + mıyordun
karıştırmamışmışız	karıştır + mamışmışız
iskenderlermişsin	iskender + lermişsin
hedoniste	hedonist + e
yormalıydık	yor + malıydık
darçınların	darçın + ların
kəfgirinizdə	kəfgir + inizdə
bülbüllər	bülbül + lər
istisnası	istisna + sı
kraliçamızı	kraliça + mızı
gözlərimizin	göz + lərimizin
ısırmadım	ısır + madım
kırdırmamalıymış	kırdır + mamalıymış
penislerinin	penis + lerinin
saymıyorduk	say + mıyorduk
brilyantlardan	brilyant + lardan
köynəklərim	köynək + lərim
qəlbinizdən	qəlb + inizdən
dizmeyecektiniz	diz + meyecektiniz
baldızımızı	baldız + ımızı
akşamlarınızdan	akşam + larınızdan
bitkidən	bitki + dən
dilmeliler	dil + meliler
papalarınızda	papa + larınızda
duyları	duy + ları
öldürtülmememelisiniz	öldürtülme + memelisiniz
temizleme	temizle + me
kəfgirlərinizdə	kəfgir + lərinizdə
götüz	göt + üz
aygıtınızı	aygıt + ınızı
hazırmışsın	hazır + mışsın
denilmeyecekmişsin	denil + meyecekmişsin
mesuliyetlerinin	mesuliyet + lerinin
yıldızıllara	yıldızıl + lara
tüketeceği	tüket + eceği
konuşmasıyla	konuş + masıyla
müsabiqələrə	müsabiqə + lərə
texnologiyalarda	texnologiya + larda
psixoterapiyalarda	psixoterapiya + larda
ürəyin	ürə + yin
səhifələrin	səhifə + lərin
kötüleşmezmişim	kötüleş + mezmişim
otobüslerin	otobüs + lerin
öpmemeliyiz	öp + memeliyiz
qoxularınızdan	qoxu + larınızdan
solumamalıymış	solu + mamalıymış
penisinizi	penis + inizi
Troussier'in	Troussier + 'in
günəbaxanların	günəbaxan + ların
fakültelerimizin	fakülte + lerimizin
dünyalarınızdan	dünya + larınızdan
sevgilərin	sevgi + lərin
şaşırtmışmış	şaşırt + mışmış
kalmamış	kal + mamış
güzelleştiriyorsunuz	güzelleştir + iyorsunuz
bağırtının	bağırtı + nın
tələbələrdə	tələbə + lərdə
kazımıyorduk	kazı + mıyorduk
böreklerde	börek + lerde
rəngləyirlər	rənglə + yirlər
öğrendim	öğren + dim
unutturuyorsun	unut + turuyorsun
bilemezmişiz	bile + mezmişiz
incəsənətlərin	incəsənət + lərin
beynimizdən	bey + nimizdən
sevgidən	sevgi + dən
tərcüməsində	tərcümə + sində
sözləri	söz + ləri
mənzərələrində	mənzərə + lərində
sululuklarda	sululuk + larda
darçın	darçın
məktəbində	məktəb + ində
onurğalarda	onurğa + larda
keçini	keçi + ni
onurğanızı	onurğa + nızı
beklettiydi	beklet + tiydi
ürəklərin	ürək + lərin
kaçırmışlarmış	kaçır + mışlarmış
dünyaya	dünya + ya
makinalarımızı	makina + larımızı
ablayı	abla + yı
zəfərin	zəfər + in
kurtarmalıydı	kurtar + malıydı
tartmazsınız	tart + mazsınız
kəpənəkdə	kəpənək + də
kötüleştirmezmişsiniz	kötüleştir + mezmişsiniz
kaynaştırtmamalıymışsınız	kaynaştırt + mamalıymışsınız
dirsəyimizdən	dirsə + yimizdən
ürəklərdə	ürək + lərdə
xəritəsini	xəritə + sini
süpürgələrə	süpürgə + lərə
hastalanmıyormuşum	hastalan + mıyormuşum
uyacak	uy + acak
dirsəklərinin	dirsək + lərinin
Alp	Alp
fəaliyyətləriniz	fəaliyyət + ləriniz
ikilemlerimizde	ikilem + lerimizde
kanamamalıydın	kana + mamalıydın
meymunda	meymun + da
ereksiyanın	ereksiya + nın
osminoq	osminoq
zəfəranı	zəfəran + ı
göstermedi	göster + medi
volkanizmalar	volkanizma + lar
şkafa	şkaf + a
sesçiymişsiniz	sesçi + ymişsiniz
geçinmiyormuşuz	geçin + miyormuşuz
qoxumuza	qoxu + muza
amfiteatrın	amfiteatr + ın
işıqlara	işıq + lara
olayınızı	olay + ınızı
köynəklərimdən	köynək + lərimdən
bıkmazdı	bık + mazdı
programlattırmayacaktınız	programlattır + mayacaktınız
adlardan	ad + lardan
ereksiyasına	ereksiya + sına
bəbəklərdən	bəbək + lərdən
baygınlıklarımızda	baygınlık + larımızda
wikinizin	wiki + nizin
tahammülü	tahammül + ü
dünyalarında	dünya + larında
sezonda	sezon + da
fəlsəfələrə	fəlsəfə + lərə
küçülecekmiş	küçül + ecekmiş
eğilmiyordu	eğil + miyordu
mühendislerde	mühendis + lerde
içəcəyik	iç + əcəyik
maddelerde	madde + lerde
içir	iç + ir
əriyimi	əri + yimi
gazinodan	gazino + dan
qonşunun	qonşu + nun
dırnaqlarınızı	dırnaq + larınızı
sonsuzluğumuzda	sonsuzluğ + umuzda
