input	target
suuntaviivoissaan	suunta + viivoissaan
maistele	maistel + e
vankimman	vank + imman
kohdentamista	kohdentami + sta
kokosi	ko + kosi
korvauksesta	korvau + ksesta
kellertävää	kellertävä + ä
Jäntevää	Jäntevä + ä
kuluun	kulu + un
telkkarissa	telkkari + ssa
syntyvä	synty + vä
hoitaneen	hoita + neen
Caro	Caro
siirtymäkauden	siirtymä + kauden
herrasmiespelaajaksi	herras + miespelaajaksi
Saukki	Saukki
huomaa	huoma + a
suhtautumisesta	suhtautumi + sesta
määritetään	määrit + etään
lavakarismaa	lava + karismaa
622/98	622/98
Bédardista	Bédard + ista
kiinteään	kiinteä + än
Ruoholahtea	Ruoholaht + ea
henkilöille	henkilö + ille
puhelinnumeron	puhelin + numeron
lainsäätäjät	lain + säätäjät
Dancing	Dancing
veroja	vero + ja
Freddie	Freddie
aluevesirajan	alue + vesirajan
kuukausittaisia	kuu + kausittaisia
metallimessuun	metalli + messuun
blogeista	blog + eista
perusvapauksia	perus + vapauksia
uudelleensyntyäkseen	uudelleen + syntyäkseen
merkkinä	merkki + nä
varovainen	varovainen
poliitikoilta	poliitik + oilta
vihattavana	vihattava + na
törmäyksen	törmäy + ksen
opetuksen	opetu + ksen
tarkistuksista	tarkistu + ksista
suuria	suuri + a
itseluottamuksen	itseluottamu + ksen
ymmärtänyt	ymmärtä + nyt
peruskurssin	perus + kurssin
systeemiin	systeemi + in
We	We
ulkomaalaistaustaista	ulko + maalaistaustaista
euroideologian	euro + ideologian
NKVD:n	NKVD + :n
hikipajoissa	hiki + pajoissa
nukkuvat	nukku + vat
koitoksiin	koito + ksiin
kuuttakymmentä	kuu + ttakymmentä
96	96
seesaminsiemenissä	seesamin + siemenissä
kukistivat	kukist + ivat
näpsäys	näpsäys
C6-0140/2004	C6-0140/2004
voitamme	voit + amme
irroittautumaan	irro + ittautumaan
katekismuksen	katekismu + ksen
hiljattain	hiljattain
elävien	elä + vien
maaliskuun	maaliskuu + n
välittyä	välittyä
cnn.com	cnn.com
kerhosta	kerho + sta
21.	21.
nenällämme	nenä + llämme
lepyttelin	lepyt + telin
lapsiperheet	lapsi + perheet
päällä	päällä
lainasopimuksella	laina + sopimuksella
kiirehtiä	kiirehtiä
Rock	Rock
1925	1925
omituista	omitui + sta
mineraalista	mineraali + sta
sukkahousuihin	sukka + housuihin
1955	1955
hipelöidä	hipelöidä
tietohallintoyksiköksi	tieto + hallintoyksiköksi
Pohjois-Pohjanmaalla	Pohjois-Pohjanmaa + lla
Pohjois-Lappi	Pohjois-Lappi
välttelinkin	vält + telinkin
9,7	9,7
arvioidun	arvioi + dun
mahtavia	mahtav + ia
asianajotoimintaa	asian + ajotoimintaa
riittävyyden	riittävyy + den
kyselisivät	kysel + isivät
asetan	aset + an
saariryhmä	saari + ryhmä
Lahden	Lah + den
kuvatekstien	kuva + tekstien
retkeilijöiden	retkeilij + öiden
ihailtavasti	ihailtavasti
haastattelukierros	haastattelu + kierros
Jonnan	Jonna + n
mitäänsanomattomia	mitään + sanomattomia
markkinaosuus	markkina + osuus
innovatiivisuus	innovatiivisuus
parantaakin	parantaa + kin
elämänsä	elämä + nsä
ansioituneinta	ansioitun + einta
vähemmistöä	vähemmistö + ä
inhimillisiä	inhimilli + siä
lähitalojen	lähi + talojen
viinikellari	viini + kellari
ilmoittaessaan	ilmoitta + essaan
muistutetaan	muistut + etaan
etelämpänäkin	etelämpänä + kin
ansioistaan	ansio + istaan
yksiöiden	yksiö + iden
Johnsonin	Johnson + in
Franz	Franz
traumaattinen	traumaattinen
sukelsivat	sukel + sivat
vaadita	vaa + dita
lastenaltaassa	la + stenaltaassa
levityksestä	levity + ksestä
työtön	työtön
laboratorioissa	laboratorio + issa
hoidettavan	hoi + dettavan
otettaan	ote + ttaan
Panu	Panu
lentelee	len + telee
kuuluisien	kuuluis + ien
varpuslintu	varpus + lintu
Tanskassa	Tanska + ssa
sitruunan	sitruuna + n
Lappeenrannan	Lappeenran + nan
kansainväliset	kansain + väliset
minilomalle	mini + lomalle
Radiohead	Radiohead
aio	ai + o
sormeilemalla	sormeil + emalla
porukasta	poruk + asta
kokoisella	kokoi + sella
vauhtia	vauhti + a
Packin	Pack + in
junanvaunusta	junan + vaunusta
myllyyn	mylly + yn
ylivelkaantumistapauksia	yli + velkaantumistapauksia
puolittavan	puolitta + van
keskusteltaisiin	keskustel + taisiin
hajonneen	hajo + nneen
riittivät	riitt + ivät
raikasta	raikas + ta
haastavia	haastav + ia
Tuula	Tuula
säteili	säteil + i
livealbumi	live + albumi
keräämisen	keräämi + sen
suvaitsevaisuuden	suvaitsevaisuu + den
sankan	sank + an
Bakerin	Baker + in
Kyproksen	Kypro + ksen
työehtokiistaan	työ + ehtokiistaan
neuvoo	neuvo + o
Mercosur-maihin	Mercosur + -maihin
tappouhkauksia	tappo + uhkauksia
valloittamansa	valloitta + mansa
tekevään	te + kevään
pahaa	paha + a
tuotteita	tuot + teita
onnettomuudesta	onnettomuu + desta
vapaarahoitteisten	vapaa + rahoitteisten
käytettyä	käyt + ettyä
EKP/1998/15	EKP/1998/15
Malmi	Malmi
oleilemaan	oleil + emaan
eksoplaneetta	ekso + planeetta
perustelu	perustelu
jaloin	jal + oin
makkarakansaa	makkara + kansaa
mataksi	mat + aksi
vankeusrangaistukseen	vankeus + rangaistukseen
kyllä	kyllä
psykologinen	psykologinen
heinäkuuhun	heinäkuu + hun
pallokin	pallo + kin
Asmo	Asmo
väärinkäytöksiä	väärin + käytöksiä
yhtenäinen	yhtenäinen
villiin	villi + in
perimän	perimä + n
määrätyt	määrä + tyt
rauhoittumaan	rauhoittu + maan
kyltti	kyltti
yhteiskuntaryhmien	yhteis + kuntaryhmien
osallistuivat	osallistu + ivat
nuoret	nuor + et
Åsbrink	Åsbrink
huomenaamulla	huomen + aamulla
version	versio + n
velvoitteet	velvoit + teet
lisäaineen	lisä + aineen
kiihkeä	kiihkeä
koulutietä	koulu + tietä
maailmanlaajuiset	maailman + laajuiset
monipuolista	monipuoli + sta
Kupiaisen	Kupiai + sen
liikkuva	liikku + va
jokainen	jokainen
Namysłowskin	Namysłowski + n
pohjusti	pohjust + i
selvityksessään	selvity + ksessään
kriittisyys	kriittisyys
öljyssä	öljy + ssä
voitais	voi + tais
yksinkertaistaa	yksinkertaistaa
mikäli	mikäli
noussut	nous + sut
Alright	Alright
ensisijaisesti	ensisijaisesti
olioita	olio + ita
kulttuuripääkaupunkivuodessa	kulttuuri + pääkaupunkivuodessa
vierailijalle	vierailija + lle
sosiologit	sosiologi + t
ammattitasoa	ammatti + tasoa
MD-83-tyyppinen	MD + -83-tyyppinen
patsaiden	patsa + iden
näkemisestä	näkemi + sestä
harmaan	harmaa + n
huonon	huono + n
kanssahallitsijana	kanssa + hallitsijana
mediamaksu	media + maksu
merkinnöistä	merkin + nöistä
päärakennuksessa	pää + rakennuksessa
viimeksi	viimeksi
tiistaina	tiistai + na
ääriin	ääriin
tulkitsee	tulki + tsee
nappia	nappi + a
raukkamaisena	raukkamai + sena
keskikesän	keski + kesän
miitti	miitti
edeltävään	edeltä + vään
arvostanut	arvosta + nut
Kastilian	Kastilia + n
suloista	suloi + sta
valmistui	valmistu + i
päissään	pä + issään
käytin	käyt + in
vapaaehtoispalvelu	vapaa + ehtoispalvelu
mielenkiintoa	mielenkiinto + a
kuljettajalle	kuljettaja + lle
kilometrin	kilometri + n
valtavasta	valtava + sta
Ontarion	Ontario + n
normaalilla	normaali + lla
Kaukovaara	Kaukovaara
kiristykselle	kiristy + kselle
Of	Of
Cold	Cold
Napster	Napster
luikertelemaan	luiker + telemaan
polkumyyntimenettelystä	polku + myyntimenettelystä
huvitti	huvitt + i
pikku	pikku
kokemuksesta	kokemu + ksesta
hakisin	hak + isin
juhlajuomat	juhla + juomat
teholla	teho + lla
näkyviä	näkyv + iä
naaraan	naara + an
145	145
järjestelmäintegraatio-	järjestelmä + integraatio-
Kaakkois-Ranskassa	Kaakkois-Ranska + ssa
perustelee	perustel + ee
kahvin	kahvi + n
esittelivät	esit + telivät
polvilleen	polvi + lleen
kahviloita	kahvil + oita
eteläisen	eteläi + sen
P-klubi	P-klubi
hyvääkin	hyvä + äkin
yrittämättä	yrittä + mättä
heikentävän	heikentä + vän
youtubessa	youtube + ssa
maalein	maal + ein
Exeterin	Exeter + in
näyttävät	näyttä + vät
utuinen	utuinen
odottaville	odotta + ville
arkin	ark + in
lausuntoja	lausunto + ja
Winnifrith	Winnifrith
top	top
Jean	Jean
tarkkailukykyyni	tarkkailu + kykyyni
maalaisliiton	maalais + liiton
pilarin	pilari + n
piukassa	piukassa
kadottamaan	kadotta + maan
aakkosjärjestyksessä	aakkos + järjestyksessä
luentonäytelmää	luento + näytelmää
päästäisiin	päästä + isiin
osaketta	osake + tta
katsojia	katsoj + ia
opiskelijalle	opiskelija + lle
Sacchi	Sacchi
typerän	typerä + n
Jukka	Jukka
vuosineljänneksittäin	vuosi + neljänneksittäin
kasvattanut	kasvatta + nut
kaljassa	kalja + ssa
vallitsevista	valli + tsevista
hävisi	hävi + si
demokratia-	demokratia + -
kuultu	kuul + tu
riskialueet	riski + alueet
kappaleita	kappale + ita
Kaijasilta	Kaijasilta
nauttisi	nautti + si
ryhmiin	ryhm + iin
tihenevät	tihe + nevät
coverversion	cover + version
ensisijaisena	ensisijai + sena
Simeonin	Simeon + in
aineistoa	aineisto + a
alentamiseenkaan	alentami + seenkaan
vanhin	vanh + in
Buc	Buc
1931	1931
häilyvä	häilyvä
markkinavoiman	markkina + voiman
rangaistuksia	rangaistu + ksia
ilmoitukset	ilmoitu + kset
alkoholitta	alkoholi + tta
käännytti	käännytt + i
ominaisuuksiensa	ominaisuu + ksiensa
tukevassa	tuke + vassa
pistellä	piste + llä
sopua	sopu + a
pääsemiseksi	pääsemi + seksi
huuliaan	huuli + aan
kuumaa	kuuma + a
Elli	Elli
korostamisena	korostami + sena
IT-laitos	IT + -laitos
hauskempi	hausk + empi
sitruunalla	sitruuna + lla
perintätoimistoon	perintä + toimistoon
rikkomiseksi	rikkomi + seksi
kasvatusmaljassa	kasvatus + maljassa
juhlassa	juhla + ssa
kansallissankarin	kansallis + sankarin
järjestelmässä	järjestelmä + ssä
poijat	poi + jat
Islandia	Island + ia
ihav	iha + v
valkealla	valkea + lla
tärähtämisen	tärähtämi + sen
pohdiskelu	pohdiskelu
äänittää	äänittää
55-vuotiaita	55 + -vuotiaita
valtionpäämiehenä	valtion + päämiehenä
tekee	te + kee
Ahlström	Ahlström
kotouttamisstrategioita	kotouttamis + strategioita
vispata	vispata
Muammar	Muammar
hakeneet	hake + neet
kukkaam	kuk + kaam
makeita	make + ita
Massacre	Massacre
kielioppeihin	kieli + oppeihin
laitoksemme	laito + ksemme
kohdemaahan	kohde + maahan
Markelle	Markelle
kentällistä	kentälli + stä
viittaa	viit + taa
Luminance	Luminance
hyötykuormien	hyöty + kuormien
Kappadokian	Kappadokia + n
kolmikantasopimuksen	kolmi + kantasopimuksen
tarjoamasta	tarjo + amasta
itsensä	itse + nsä
unohtaneet	unohta + neet
mielin	mieli + n
ohjaa	ohja + a
kauempaa	kauempaa
kummoinen	kummoinen
mainituissa	maini + tuissa
kansalaissodan	kansalais + sodan
Damiettan	Damietta + n
huipussaan	huip + ussaan
Finland	Finland
lesbot	lesbo + t
velkaantuneisuus	velkaantuneisuus
heikosti	heikosti
sieraimiin	sierai + miin
kokonaisuudelle	kokonaisuu + delle
selviytyneen	selviyty + neen
Tulanen	Tulane + n
Mikkelinsaaret	Mikkelinsaaret
1667	1667
elinympäristöön	elin + ympäristöön
kutsuvani	kutsu + vani
kiintiöiden	kiintiö + iden
päinvastoin	päinvastoin
valuneena	valu + neena
tehdas	tehdas
Kainuuseen	Kainuu + seen
slipoverin	slipoveri + n
tullu	tull + u
Amerikan-valloituksen	Amerikan + -valloituksen
vaikuttava	vaikuttava
velttoilulle	velttoilu + lle
esitelmiä	esitelm + iä
säädettyjen	sää + dettyjen
mandaattia	mandaatti + a
keittiöön	keittiö + ön
korjattavaa	korja + ttavaa
varantopohjasta	varanto + pohjasta
tavaksi	ta + vaksi
kasattua	kasa + ttua
0,29	0,29
kesä-	kesä + -
yhä	yhä
mullan	mul + lan
hetkisen	hetki + sen
2012	2012
nappulaa	nappula + a
opiskeluvaihtoa	opiskelu + vaihtoa
kokoontuivat	kokoontu + ivat
keltaisiin	keltai + siin
TCSM	TCSM
tappioin	tappio + in
uskonnollisiksi	uskonnolli + siksi
Brita	Brita
takapenkin	taka + penkin
loputtoman	loput + toman
Waden	Wade + n
Volvoa	Volvo + a
Nordlandialla	Nordlandia + lla
rallissa	ralli + ssa
huulet	huul + et
Maghreb-maihin	Maghreb + -maihin
majesteetillisuudesta	majesteetillisuu + desta
rummut	rum + mut
herkintä	herk + intä
lehdistötiedotteessa	lehdistö + tiedotteessa
tarkistavat	tarkista + vat
suunnitelmiinsa	suunnitelm + iinsa
ratkaiseva	ratkaiseva
Scheidemann	Scheidemann
Tenshinhan	Tenshinhan
Kunmingin	Kunming + in
elinvuotenaan	elin + vuotenaan
kokonaisuudessaan	kokonaisuu + dessaan
Buechlein	Buechlein
moottoroitu	moottoroi + tu
edustusjoukkueeseen	edustus + joukkueeseen
kohdelleet	kohdell + eet
1,4	1,4
Aamulehti	Aamulehti
hermostuu	hermostu + u
alkoholi	alkoholi
huolimattomasti	huolimattomasti
Stahanovin	Stahanov + in
sata	sata
akatemiatutkijat	akatemia + tutkijat
kuorma-autoa	kuorma + -autoa
hommissaan	homm + issaan
häilyviä	häilyv + iä
kilpailuehdotuksen	kilpailu + ehdotuksen
komissiossa	komissio + ssa
toimittamatta	toimitta + matta
eurokriisissä	euro + kriisissä
aliupseerikirjurina	ali + upseerikirjurina
kukkaisistutukset	kukkais + istutukset
hyväksyttiin	hyväksy + ttiin
tuoreimpia	tuore + impia
modernismin	modernismi + n
keskusteluja	keskustelu + ja
loppupalkan	loppu + palkan
EM-karsintaottelun	EM + -karsintaottelun
väliaikainen	väli + aikainen
kuivattua	kuiva + ttua
vastalauseet	vasta + lauseet
Pertsa	Pertsa
kehdannut	kehda + nnut
Ojanen	Ojanen
viettämämme	viettä + mämme
analysointi-	analysointi + -
haisee	hais + ee
realistinen	realistinen
pikkuhiljaa	pikkuhiljaa
uhrien	uhri + en
kaupallisesti	kaupallisesti
olihan	ol + ihan
joiltain	jo + iltain
keinotekoisesti	keino + tekoisesti
onnistuneen	onnistun + een
taiteesta	tai + teesta
tokenisi	to + kenisi
remonteista	remont + eista
variaatioilla	variaatio + illa
Birmingham	Birmingham
valmistettu	valmist + ettu
Miragessa	Mirage + ssa
esityksensä	esity + ksensä
selvii	selvi + i
lisäys	lisäys
pötkylän	pötkylä + n
maksava	maksa + va
kyseisten	kysei + sten
osataan	osata + an
ehätti	ehätt + i
Postin	Post + in
Capoten	Capote + n
alentamiseen	alentami + seen
kiertokirje	kierto + kirje
paperilennokin	paperi + lennokin
lähestyvä	lähesty + vä
osoitetut	osoit + etut
hepreaksi	heprea + ksi
taistosta	taisto + sta
ainoaa	ainoa + a
täyttämiseen	täyttämi + seen
asetetut	aset + etut
numeroissa	numero + issa
muhkealla	muhkea + lla
kulttuurihenkilöihin	kulttuuri + henkilöihin
juristi-teologi	juristi + -teologi
filosofiaa	filosofia + a
tunnistettava	tunnistettava
veturiin	veturi + in
kierrätyssohvalla	kierrätys + sohvalla
meteoriittiparvet	meteoriitti + parvet
asiaankuuluvia	asiaankuuluv + ia
festareilla	festar + eilla
akkujen	akku + jen
tavoitteena	tavoit + teena
nousen	nous + en
viinasta	viina + sta
deklinaatioiksi	deklinaatio + iksi
nojasin	noja + sin
elämästään	elämä + stään
ihmiskauppatapauksissa	ihmis + kauppatapauksissa
aikaa	aikaa
Tapio	Tapio
jumalhahmo	jumal + hahmo
sähköpostissa	sähkö + postissa
säännöstön	säännöstö + n
19–20.4.	19–20.4.
tietyntyyppisten	tietyn + tyyppisten
prototyping	prototyping
pohjalle	pohja + lle
valmistamassa	valmista + massa
korkealle	korkealle
mahdollisuutensa	mahdollisuu + tensa
yksinäiseksi	yksinäi + seksi
kasvava	kasva + va
antifasistinen	anti + fasistinen
hygienian	hygienia + n
tyynnyin	tyyn + nyin
tyrkyttää	tyrkyttää
ihmiselämä	ihmis + elämä
tietokoneohjelma	tieto + koneohjelma
syövän	syö + vän
myyjä	myyjä
epäpätevä	epä + pätevä
Wikipediassa	Wikipedia + ssa
kilovoltin	kilo + voltin
poikkeukselliset	poikkeukselli + set
lääkeyrityksiä	lääke + yrityksiä
kesken	kesken
koheesiopolitiikan	koheesio + politiikan
Gennep	Gennep
makoilulle	makoilu + lle
oksan	oksa + n
Teamissa	Team + issa
sukuni	suku + ni
kiinnostuisin	kiinnostu + isin
brosyyria	brosyyri + a
tuotteistettava	tuotteist + ettava
aamukasiin	aamu + kasiin
häkeltyneenä	häkelty + neenä
loppuottelun	loppu + ottelun
viejämaan	viejä + maan
Kaarlo	Kaarlo
DIY	DIY
vara	vara
Krobsia	Krobs + ia
palannut	pala + nnut
poliisit	poliisi + t
kansa	kansa
urheilusta	urheilu + sta
vankeuteen	vankeu + teen
aseistettuja	aseist + ettuja
valmistumassa	valmistu + massa
pronssille	pronssi + lle
kutsumukselleen	kutsumu + kselleen
Kajsa	Kajsa
lemppariperustelu	lemppari + perustelu
jutusteleva	jutustel + eva
kalaliemi	kala + liemi
piirteet	piir + teet
kuuluisamman	kuuluisa + mman
sekoitettuna	sekoit + ettuna
Sultanov	Sultanov
teemavuosi	teema + vuosi
ajantasaistamista	ajantasaistami + sta
asennoituminen	asennoituminen
varauksetta	varau + ksetta
puolustamisella	puolustami + sella
yo-merkonomi	yo + -merkonomi
pehmeni	pehme + ni
nykysuomen	nyky + suomen
Häegen-Datzin	Häegen-Datz + in
bengaa	benga + a
suorittaja	suorittaja
sirkusprinsessa	sirkus + prinsessa
verkostoitunut	verkostoitu + nut
liiennytkään	liie + nnytkään
direktiivistä	direktiivi + stä
siitepölymääriin	siitepöly + määriin
ravintoa	ravinto + a
rantautumispaikalle	rantautumis + paikalle
luottaa	luottaa
valmistamiseen	valmistami + seen
liitossa	liit + ossa
kuumiin	kuum + iin
1849	1849
saavutettu	saavut + ettu
1995–2007	1995–2007
alkuainetta	alku + ainetta
Denis	Denis
NBC:n	NBC + :n
kengänkärjellään	kengän + kärjellään
puhelinlaitetta	puhelin + laitetta
Beganin	Began + in
tilastotiedot	tilasto + tiedot
ammattipelaaja	ammatti + pelaaja
toki	toki
Karjalainen	Karjalainen
istuinten	istuin + ten
arvokkaina	arvok + kaina
toiminut	toimi + nut
1950-	1950-
112	112
suullisesti	suullisesti
luennointia	luennointi + a
helpottanut	helpotta + nut
luulin	luul + in
säännöllisesti	säännöllisesti
muuttujien	muuttuj + ien
valtaavat	val + taavat
matkassa	matka + ssa
kuukausitasetta	kuukausi + tasetta
keskityspalloista	keskitys + palloista
lähteä	lähteä
iltariennoista	ilta + riennoista
kieliopissa	kieli + opissa
suomalaiset	suomalai + set
crust/hardcore	crust/hardcore
korjasi	korja + si
anglosaksinen	anglosaksinen
saaneiden	saa + neiden
illala	il + lala
lisää	lisä + ä
tehokkaasti	tehokkaasti
valtiosalaisuudet	valtio + salaisuudet
lääketeollisuuden	lääke + teollisuuden
tupakkaa	tupakka + a
pelastusreissusta	pelastus + reissusta
lausunnot	lausun + not
rakennusmateriaalien	rakennus + materiaalien
juhlakalun	juhla + kalun
Bulgariassa	Bulgaria + ssa
toisestaan	toi + sestaan
elimen	eli + men
lapselleni	laps + elleni
Muppet	Muppet
vastaavasti	vastaavasti
kiehuvaksi	kiehuva + ksi
Rosenberg	Rosenberg
hehtaaria	hehtaari + a
sopimusverkostojen	sopimus + verkostojen
Veikkausliigasta	Veikkausliiga + sta
Novosti	Novosti
kukkulat	kukkula + t
toipumislomaa	toipumis + lomaa
Ariaratheen	Ariarathe + en
urheilutoimituksessa	urheilu + toimituksessa
ilkkuen	ilkku + en
jäsenvaltiolle	jäsen + valtiolle
hommia	homm + ia
2004	2004
reikien	reik + ien
hengittämässä	hengittä + mässä
mielestä	miel + estä
korjauksia	korjau + ksia
yritykset	yrity + kset
muuttoliikkeen	muutto + liikkeen
Hunksit	Hunks + it
ylimäärin	ylimäärin
uhri	uhri
ajateltu	ajatel + tu
lokoisaan	lokoisa + an
jolkottelemaan	jolkot + telemaan
digiverkossa	digiverk + ossa
täydentävää	täydentä + vää
oleviksi	ol + eviksi
pitäisikin	pitä + isikin
pestään	pestä + än
isonenäisen	iso + nenäisen
Metsä-Ketelä	Metsä-Ketelä
lausunnossa	lausun + nossa
mäntylajikkeita	mänty + lajikkeita
neuvottelut	neuvottelu + t
uudistusvaatimusten	uudistus + vaatimusten
surmattuna	surma + ttuna
kaupunki	kaupunki
yrittäjyyttä	yrittäjyy + ttä
rajoittamatonta	rajoittamaton + ta
päätyy	pääty + y
versioita	versio + ita
sijaitsevaan	sijai + tsevaan
yksikantaan	yksikantaan
huumorintajua	huumorin + tajua
vuosittaisessa	vuosittai + sessa
kertoisit	kerto + isit
Suomenkaan	Suom + enkaan
Saturnuksen	Saturnu + ksen
asetettaisiin	aset + ettaisiin
verkostoitumiseen	verkostoitumi + seen
valmistaen	valmista + en
huomaavinamme	huoma + avinamme
reilua	reilua
tippunu	tippu + nu
keskiviikko	keski + viikko
kromosomikäsivarret	kromosomi + käsivarret
liikkuu	liikku + u
viljelyn	viljely + n
todeta	todeta
sairauden	sairau + den
maksettu	maks + ettu
sosiaaliturvan	sosiaali + turvan
hävittyä	hävi + ttyä
lisätessään	lisä + tessään
media-	media + -
paistinpannulla	paistin + pannulla
parlamentissa	parlament + issa
Khosroiani-ruhtinaalle	Khosroiani + -ruhtinaalle
terveyssektorille	terveys + sektorille
synttärikakuista	synttäri + kakuista
Jalmarillakin	Jalmari + llakin
syntyneestä	synty + neestä
ammattipiireissä	ammatti + piireissä
sävellyksiä	sävelly + ksiä
italialaisten	italialai + sten
suunta	suunta
tilalleen	tila + lleen
kuumia	kuum + ia
maatalouden	maa + talouden
imitaatioihin	imitaatio + ihin
pidosta	pi + dosta
henkilökohtaisesti	henkilö + kohtaisesti
Joensuun	Joensuu + n
