input	target
namazlarınız	namaz + larınız
penisimizə	penis + imizə
bacısını	bacı + sını
ereksiyalar	ereksiya + lar
sümüklərinizdə	sümük + lərinizdə
dırnaqlarıma	dırnaq + larıma
kərtənkələdə	kərtənkələ + də
sevginin	sevgi + nin
üzümlərdə	üzüm + lərdə
axşamları	axşam + ları
kraliçalarımızda	kraliça + larımızda
yemişə	yemiş + ə
xəritəmiz	xəritə + miz
xəritənizdə	xəritə + nizdə
mənzərənizdən	mənzərə + nizdən
hinduşkalarda	hinduşka + larda
isimləri	isim + ləri
rənglədiniz	rənglə + diniz
pərəstar	pərəstar
ürəkdə	ürək + də
düşməndə	düşmən + də
kitabı	kitab + ı
gülüşlərimə	gülüş + lərimə
köpükdən	köpük + dən
mənzərənizə	mənzərə + nizə
qoxusuna	qoxu + suna
ereksiyanızdan	ereksiya + nızdan
tərcümələrinizdə	tərcümə + lərinizdə
tülkülərdə	tülkü + lərdə
xəritəndən	xəritə + ndən
balıqda	balıq + da
hüceyrəmizə	hüceyrə + mizə
portağalda	portağal + da
göydələnin	göydələn + in
zəlzələnin	zəlzələ + nin
badımcanda	badımcan + da
açarlarımdan	açar + larımdan
penisin	penis + in
köpəkdə	köpək + də
gülürsünüz	gül + ürsünüz
kəfgirlər	kəfgir + lər
düşmənlərimizdən	düşmən + lərimizdən
xəbərlər	xəbər + lər
gecələrə	gecə + lərə
matçları	matç + ları
oxuyacaxlarını	oxu + yacaxlarını
adları	ad + ları
qardaşa	qardaş + a
buzdan	buz + dan
gözümüzün	göz + ümüzün
ereksiyalarınıza	ereksiya + larınıza
gümüşlərdə	gümüş + lərdə
yardımlara	yardım + lara
jurnalistlər	jurnalist + lər
əqrəblərinizin	əqrəb + lərinizin
armuda	armud + a
movəffəq	movəffəq
rəhbərinizə	rəhbər + inizə
dəvəquşunda	dəvəquşu + nda
xoruzların	xoruz + ların
damcılara	damcı + lara
xəzinəmi	xəzinə + mi
kölgəmizdən	kölgə + mizdən
şaftalısına	şaftalı + sına
odda	od + da
kərpicin	kərpic + in
qanlarda	qan + larda
çəyirtkələr	çəyirtkə + lər
arxivimizi	arxiv + imizi
tüstünü	tüstü + nü
brilyantları	brilyant + ları
alətinizə	alət + inizə
açarımıza	açar + ımıza
yedi	ye + di
onurğamızın	onurğa + mızın
badamdan	badam + dan
məktəblərdə	məktəb + lərdə
dəvənin	dəvə + nin
alçanın	alça + nın
əjdahalardan	əjdaha + lardan
dinozavrlarım	dinozavr + larım
lüğətlərə	lüğət + lərə
sivilizasiya	sivilizasiya
bacıların	bacı + ların
kraliçalarının	kraliça + larının
yaquarı	yaquar + ı
şaftalılarına	şaftalı + larına
kilsələrdən	kilsə + lərdən
fəlsəfələrindən	fəlsəfə + lərindən
süngüdən	süngü + dən
tərcüməmdən	tərcümə + mdən
mənzərələrinizdə	mənzərə + lərinizdə
dağın	dağ + ın
vazalarında	vaza + larında
dalğasından	dalğa + sından
qəlblərdə	qəlb + lərdə
süzgəcdə	süzgəc + də
donuzlarda	donuz + larda
dalğalarım	dalğa + larım
əqrəbə	əqrəb + ə
rəhbərində	rəhbər + ində
badamda	badam + da
dirsəklərimin	dirsək + lərimin
hüceyrədən	hüceyrə + dən
mismarları	mismar + ları
söyüdlərin	söyüd + lərin
bacımın	bacı + mın
uşaqlıqlar	uşaqlıq + lar
tarixlər	tarix + lər
göbəklər	göbək + lər
fəaliyyətimi	fəaliyyət + imi
çekmə	çek + mə
meyvələrdən	meyvə + lərdən
dalğıclardan	dalğıc + lardan
donuza	donuz + a
süngünün	süngü + nün
saat	saat
bağırsaqlar	bağırsaq + lar
gülüşlərdən	gülüş + lərdən
kərpiclərdə	kərpic + lərdə
badamlara	badam + lara
alətinə	alət + inə
istəyirsiniz	istə + yirsiniz
qardaşından	qardaş + ından
düşmənimizdən	düşmən + imizdən
atları	at + ları
qəza	qəza
süngülərinin	süngü + lərinin
qəlsəmələrdən	qəlsəmə + lərdən
amfiteatr	amfiteatr
məktəblərimdə	məktəb + lərimdə
açarında	açar + ında
gülüşünüz	gülüş + ünüz
mitoxondri	mitoxondri
ördəklər	ördək + lər
analarında	ana + larında
xəncərlərin	xəncər + lərin
düşmanımızdan	düşman + ımızdan
tüstülərdə	tüstü + lərdə
müzakirəsində	müzakirə + sində
siçanları	siçan + ları
ulduzlar	ulduz + lar
xəzinəmizin	xəzinə + mizin
kişiyə	kişi + yə
nəfəslərə	nəfəs + lərə
sümüyünün	sümü + yünün
xəbərləri	xəbər + ləri
vazamızdan	vaza + mızdan
alov	alov
penisinizdən	penis + inizdən
sümüyünüzə	sümü + yünüzə
matçlara	matç + lara
ətlərin	ət + lərin
xəstəliyin	xəstəli + yin
üzümlər	üzüm + lər
kağıza	kağız + a
beynimə	bey + nimə
ağacda	ağac + da
namazlarında	namaz + larında
dünyalar	dünya + lar
canlarda	can + larda
minarəni	minarə + ni
qadın	qadın
oturdular	otur + dular
rəndələrdə	rəndə + lərdə
fəlsəfəm	fəlsəfə + m
alçalara	alça + lara
açarımın	açar + ımın
vəziyyətinizdə	vəziyyət + inizdə
mələklərimdən	mələk + lərimdən
armudları	armud + ları
dülgərdə	dülgər + də
qoxusu	qoxu + su
biçinlərdə	biçin + lərdə
sərçənin	sərçə + nin
peyğəmbərlərdə	peyğəmbər + lərdə
psixoterapiyanın	psixoterapiya + nın
baldızlarımızdan	baldız + larımızdan
penisiniz	penis + iniz
namazımı	namaz + ımı
çiçəkdən	çiçək + dən
ciblərin	cib + lərin
gözlərini	göz + lərini
darçınlardan	darçın + lardan
dırnağınıza	dırnağ + ınıza
ədəbiyyatların	ədəbiyyat + ların
buynuzumuz	buynuz + umuz
dalğanın	dalğa + nın
armudun	armud + un
kitabxanalarda	kitabxana + larda
vəziyyətlərdə	vəziyyət + lərdə
bağbanda	bağban + da
qanda	qan + da
fleytalar	fleyta + lar
kərpiclərə	kərpic + lərə
ensiklopediyadan	ensiklopediya + dan
afisdə	afis + də
keçini	keçi + ni
bitkidən	bitki + dən
məktəbimin	məktəb + imin
jurnalistləri	jurnalist + ləri
kaktuslara	kaktus + lara
amfiteatrın	amfiteatr + ın
hörümçəyimdən	hörümçə + yimdən
südlərin	süd + lərin
əjdəhalara	əjdəha + lara
alçalarımızı	alça + larımızı
canavarlar	canavar + lar
mələklərimiz	mələk + lərimiz
həqiqətlərdən	həqiqət + lərdən
gülüşündən	gülüş + ündən
oyuncağın	oyuncağ + ın
dalğanızı	dalğa + nızı
səviyyənin	səviyyə + nin
təlaş	təlaş
canavardan	canavar + dan
zəlzələlərin	zəlzələ + lərin
avqusta	avqust + a
təmizləməmişdi	təmizlə + məmişdi
pomidorların	pomidor + ların
dirsəyə	dirsə + yə
qardaşlarınızın	qardaş + larınızın
soğana	soğan + a
gözlərində	göz + lərində
namazlarımı	namaz + larımı
analarınızdan	ana + larınızdan
alçasında	alça + sında
gözləriniz	göz + ləriniz
dülgərləri	dülgər + ləri
qulağa	qulağ + a
baldızı	baldız + ı
dünyanda	dünya + nda
şənbənin	şənbə + nin
danışma	danış + ma
hörümçəklərin	hörümçək + lərin
kölgəsinə	kölgə + sinə
söyüdlərdən	söyüd + lərdən
qılınclar	qılınc + lar
köynəkdən	köynək + dən
zəlzələlərdən	zəlzələ + lərdən
dirsəklər	dirsək + lər
köynəkdə	köynək + də
beyinlərim	beyin + lərim
qəlblərimizdən	qəlb + lərimizdən
gülüşlərinizi	gülüş + lərinizi
canavarları	canavar + ları
ağacdələnlər	ağacdələn + lər
şəhərlərə	şəhər + lərə
kəlbətinlərdən	kəlbətin + lərdən
penisdən	penis + dən
mələyinizə	mələ + yinizə
sabunu	sabun + u
nəfəsdə	nəfəs + də
səviyyəni	səviyyə + ni
bəbəklərdə	bəbək + lərdə
dünyalarınızda	dünya + larınızda
minarələrdə	minarə + lərdə
hüceyrəmi	hüceyrə + mi
paya	pay + a
qəlblərinə	qəlb + lərinə
dünyamın	dünya + mın
qəlblərinizdən	qəlb + lərinizdən
canavarı	canavar + ı
rənglədi	rənglə + di
dondurmada	dondurma + da
bıçağının	bıçağ + ının
dalğanda	dalğa + nda
ayaqqabıları	ayaqqabı + ları
ütüyü	ütü + yü
rəngləyəcəksən	rənglə + yəcəksən
tələbələrimə	tələbə + lərimə
süngündən	süngü + ndən
göllərin	göl + lərin
atdan	at + dan
kəfgirinizin	kəfgir + inizin
oğraşlarda	oğraş + larda
kağız	kağız
şəhərlər	şəhər + lər
dırnaqlardan	dırnaq + lardan
canın	can + ın
müzakirənizə	müzakirə + nizə
qatarları	qatar + ları
dünyamızdan	dünya + mızdan
açarlarınızın	açar + larınızın
tərcüməmizdə	tərcümə + mizdə
xəritələrimizin	xəritə + lərimizin
kölgələrinizin	kölgə + lərinizin
kəfgirlərin	kəfgir + lərin
köynəklərimə	köynək + lərimə
mənzərələr	mənzərə + lər
fəlsəfənizin	fəlsəfə + nizin
vəziyyətlərinizi	vəziyyət + lərinizi
dünyanızın	dünya + nızın
bulaqlardan	bulaq + lardan
badımcandan	badımcan + dan
xəbərlərdə	xəbər + lərdə
maşını	maşın + ı
bacılarımızın	bacı + larımızın
ağacdələnlərin	ağacdələn + lərin
otururam	otur + uram
uşaqlığımın	uşaqlığ + ımın
yağışda	yağış + da
dırnaqlarınız	dırnaq + larınız
oxa	ox + a
amfiteatrdan	amfiteatr + dan
pəncərəni	pəncərə + ni
barışdı	barış + dı
diqqətin	diqqət + in
Nəticələr	Nəticə + lər
qoxularınız	qoxu + larınız
açarınızda	açar + ınızda
pişikdə	pişik + də
bacılarınızda	bacı + larınızda
buynuzlarında	buynuz + larında
kərtənkələlərdən	kərtənkələ + lərdən
uşağ	uşa + ğ
dayanacaqlar	dayanacaq + lar
açarlarım	açar + larım
bazarlarda	bazar + larda
mələklərinizdən	mələk + lərinizdən
fəaliyyətini	fəaliyyət + ini
süngüyə	süngü + yə
ilanlardan	ilan + lardan
xərin	xər + in
süpürgədə	süpürgə + də
yarasalara	yarasa + lara
hinduşkaları	hinduşka + ları
dalğasına	dalğa + sına
qulağınızı	qulağ + ınızı
şaftalıma	şaftalı + ma
içdim	iç + dim
kölgələrimiz	kölgə + lərimiz
təyyarəyə	təyyarə + yə
yaquar	yaquar
bıçaqlarımızın	bıçaq + larımızın
xloroplastın	xloroplast + ın
köməklərimdən	kömək + lərimdən
hüceyrəsini	hüceyrə + sini
pianonun	piano + nun
balıqlardan	balıq + lardan
tələbəsindən	tələbə + sindən
rəhbərimiz	rəhbər + imiz
pomidorlar	pomidor + lar
anada	ana + da
dizin	diz + in
yemişimizi	yemiş + imizi
içir	iç + ir
bülbüldən	bülbül + dən
kölgəni	kölgə + ni
qaz	qaz
əjdahanın	əjdaha + nın
ilanda	ilan + da
dirsəyimdə	dirsə + yimdə
psixoterapiyalardan	psixoterapiya + lardan
uşaqlıqlarından	uşaqlıq + larından
baldızlarım	baldız + larım
oraqdan	oraq + dan
əriklərinə	ərik + lərinə
gülüşümüzə	gülüş + ümüzə
uşaqlıqlarımızda	uşaqlıq + larımızda
getdi	get + di
qoxumu	qoxu + mu
rəssam	rəssam
penisimdən	penis + imdən
rəhbərimizin	rəhbər + imizin
təzyiq	təzyiq
qoxularından	qoxu + larından
dirsəyinizi	dirsə + yinizi
düşmanı	düşman + ı
bıçaqlarımıza	bıçaq + larımıza
birlikləri	birlik + ləri
keçilərə	keçi + lərə
körpünü	körpü + nü
inəkdən	inək + dən
rəhbərimizdən	rəhbər + imizdən
kraliçama	kraliça + ma
maşınlar	maşın + lar
bronz	bronz
arxivinizi	arxiv + inizi
düşməninin	düşmən + inin
köynəyimizdən	köynə + yimizdən
tarixlərdən	tarix + lərdən
qurbağalar	qurbağa + lar
rəngləyir	rənglə + yir
kraliçamda	kraliça + mda
payı	pay + ı
vazalarımı	vaza + larımı
köməyinizdə	kö + məyinizdə
əqrəbimiz	əqrəb + imiz
köynəkləri	köynək + ləri
pilləkəni	pilləkən + i
söyüddə	söyüd + də
onurğalarınızdan	onurğa + larınızdan
hüceyrələrə	hüceyrə + lərə
dinozavrlarınızdan	dinozavr + larınızdan
kağızın	kağız + ın
penislərimizin	penis + lərimizin
onurğama	onurğa + ma
oturacaqlar	otur + acaqlar
sözlüyü	sözlü + yü
kəfgirimizin	kəfgir + imizin
dondurmanın	dondurma + nın
balalaykadan	balalayka + dan
xəritələrə	xəritə + lərə
alçanızın	alça + nızın
qarışqalara	qarışqa + lara
otaqda	otaq + da
qalibiyyət	qalibiyyət
dirsəyimizin	dirsə + yimizin
surələrdə	surə + lərdə
gümüşdə	gümüş + də
şaftalılarımı	şaftalı + larımı
surənin	surə + nin
əqrəblərimizə	əqrəb + lərimizə
şaftalılarımın	şaftalı + larımın
fəlsəfəmi	fəlsəfə + mi
uşaqlıqlarım	uşaqlıq + larım
fəaliyyətinizdən	fəaliyyət + inizdən
dinozavrlarımızı	dinozavr + larımızı
hörümçəklərinə	hörümçək + lərinə
düşmanlarımızda	düşman + larımızda
busələrə	busə + lərə
beyninizdən	bey + ninizdən
Ayşə	Ayşə
açar	açar
ayağın	ayağ + ın
onurğam	onurğa + m
yağışdan	yağış + dan
tüstülər	tüstü + lər
sümüyünüzdən	sümü + yünüzdən
alçamız	alça + mız
elirdi	el + irdi
ereksiyalarından	ereksiya + larından
buynuzlara	buynuz + lara
ağladılar	ağla + dılar
dinozavrımızın	dinozavr + ımızın
rəngləyirik	rənglə + yirik
geyşaya	geyşa + ya
vəziyyətindən	vəziyyət + indən
pomidorları	pomidor + ları
aylarda	ay + larda
darçınlar	darçın + lar
yəhudi	yəhudi
xalqadan	xalqa + dan
qatarlardan	qatar + lardan
ereksiyalarımıza	ereksiya + larımıza
ətlərə	ət + lərə
vazada	vaza + da
oğraşların	oğraş + ların
qulaqlarımda	qulaq + larımda
əqrəblərinin	əqrəb + lərinin
əriklərimizi	ərik + lərimizi
möcüzələri	möcüzə + ləri
vazan	vaza + n
hüceyrələrinizdə	hüceyrə + lərinizdə
inəklərə	inək + lərə
müqayisələrdən	müqayisə + lərdən
baldızınız	baldız + ınız
nəfəsdən	nəfəs + dən
süngülərini	süngü + lərini
pomidoru	pomidor + u
qardaşlarımızda	qardaş + larımızda
şamisenə	şamisen + ə
qaçqından	qaçqın + dan
açarınızı	açar + ınızı
sözlüklər	sözlük + lər
namazlarımızdan	namaz + larımızdan
busələrdə	busə + lərdə
tərcüməmin	tərcümə + min
xəzinələrimdən	xəzinə + lərimdən
sümüklərinizdən	sümük + lərinizdən
şaftalılarım	şaftalı + larım
köynəyinin	köynə + yinin
mənzərədən	mənzərə + dən
müzakirənizdə	müzakirə + nizdə
alətlərdə	alət + lərdə
fəlsəfələrinizə	fəlsəfə + lərinizə
onurğalarınızı	onurğa + larınızı
vəziyyətlərin	vəziyyət + lərin
sarıdır	sarı + dır
günəbaxandan	günəbaxan + dan
buynuzum	buynuz + um
dizlərin	diz + lərin
dillərə	dil + lərə
cəsədlərə	cəsəd + lərə
ütüləri	ütü + ləri
bacınızda	bacı + nızda
damcılarda	damcı + larda
bacılarım	bacı + larım
otaqları	otaq + ları
düşmanınızdan	düşman + ınızdan
Mary	Mary
süngümü	süngü + mü
qələbələr	qələbə + lər
kərpicə	kərpic + ə
tələbələrinin	tələbə + lərinin
uşaqlıqlarımda	uşaqlıq + larımda
sivilizasiyadan	sivilizasiya + dan
düşmanımızda	düşman + ımızda
dırnaqları	dırnaq + ları
bıçağından	bıçağ + ından
tələbələr	tələbə + lər
alətin	alət + in
dənizləri	dəniz + ləri
mələyim	mələ + yim
qoxusunu	qoxu + sunu
tələbəsinə	tələbə + sinə
müqayisədə	müqayisə + də
dodağa	dodağ + a
alovların	alov + ların
respublikaların	respublika + ların
çömçəquyruqlara	çömçəquyruq + lara
işığı	işığ + ı
köməklərinin	kömək + lərinin
qəlbindən	qəlb + indən
içəcəksiniz	iç + əcəksiniz
çömçəquyruqlar	çömçəquyruq + lar
alçanıza	alça + nıza
ağacdələndə	ağacdələn + də
ördəyi	ördə + yi
dilənçilərə	dilənçi + lərə
penislərinə	penis + lərinə
penisimi	penis + imi
xəbərə	xəbər + ə
çəyirtkələri	çəyirtkə + ləri
almazlar	almaz + lar
delfinlərdən	delfin + lərdən
bilmir	bil + mir
quyruq	quyruq
vəziyyətlərimizin	vəziyyət + lərimizin
köməyimizdə	kö + məyimizdə
qəzetlərdən	qəzet + lərdən
kərpiclər	kərpic + lər
penislərinizi	penis + lərinizi
alçamızın	alça + mızın
kölgəmin	kölgə + min
qazdan	qaz + dan
şəhəri	şəhər + i
baldızdan	baldız + dan
tərcüməsinin	tərcümə + sinin
köməklərimiz	kömək + lərimiz
baltaları	balta + ları
əqrəbimdə	əqrəb + imdə
yəhudilərdə	yəhudi + lərdə
arxivimdə	arxiv + imdə
düşmənlərdən	düşmən + lərdən
sümüklərdə	sümük + lərdə
kəfgirdən	kəfgir + dən
iydı	i + ydı
dibçəyə	dibçə + yə
kölgələrdə	kölgə + lərdə
buynuzlarını	buynuz + larını
alçanızı	alça + nızı
hüceyrələrinizdən	hüceyrə + lərinizdən
qulaqlarınıza	qulaq + larınıza
müsabiqələri	müsabiqə + ləri
penisə	penis + ə
psixoterapiyaları	psixoterapiya + ları
kəfgirinizə	kəfgir + inizə
gözlər	göz + lər
tamam	tamam
tərcümənizə	tərcümə + nizə
oğraşlardan	oğraş + lardan
düşmanının	düşman + ının
köynəklərə	köynək + lərə
sözə	söz + ə
bəbəyə	bəbə + yə
dinozavrlarınız	dinozavr + larınız
alovlar	alov + lar
gözünüzdə	göz + ünüzdə
alçalarının	alça + larının
xəzinəm	xəzinə + m
dibçəyin	dibçə + yin
çiyələyin	çiyələ + yin
yoldaşlarda	yoldaş + larda
keçinin	keçi + nin
nəqqaşi	nəqqaşi
güldü	gül + dü
vəziyyətlərinizdən	vəziyyət + lərinizdən
ətlər	ət + lər
lüğəti	lüğət + i
xəzinələrə	xəzinə + lərə
beyninizin	bey + ninizin
dinozavrınızı	dinozavr + ınızı
gülürük	gül + ürük
anan	ana + n
ulduzlardan	ulduz + lardan
rəng	rəng
rəhbəriniz	rəhbər + iniz
çiçəyin	çiçə + yin
qonşuları	qonşu + ları
tələbələrimin	tələbə + lərimin
bacılarımızda	bacı + larımızda
meymunlara	meymun + lara
vəziyyətdə	vəziyyət + də
düşmənlərinizdən	düşmən + lərinizdən
alçamın	alça + mın
bozbaşda	bozbaş + da
anamızın	ana + mızın
açarlarının	açar + larının
otaq	otaq
dayanacaqlardan	dayanacaq + lardan
gölün	göl + ün
namaz	namaz
güldünüz	gül + dünüz
dolaba	dolab + a
meymun	meymun
alçasının	alça + sının
qardaşınızı	qardaş + ınızı
gündən	gün + dən
qoxunuzdan	qoxu + nuzdan
tərcümələrinizdən	tərcümə + lərinizdən
dırnaqlarımı	dırnaq + larımı
kifayət	kifayət
adaları	ada + ları
vazalarımız	vaza + larımız
okeanlar	okean + lar
ananı	ana + nı
qardaşınıza	qardaş + ınıza
zoğun	zoğ + un
göndə	gön + də
kəfgiriniz	kəfgir + iniz
yəhudilər	yəhudi + lər
ördəyə	ördə + yə
bacını	bacı + nı
cəsədlərin	cəsəd + lərin
arxivimdən	arxiv + imdən
şaftalımıza	şaftalı + mıza
sümüyümə	sümü + yümə
təzyiqlər	təzyiq + lər
otağının	otağ + ının
əqrəblərim	əqrəb + lərim
ağlayır	ağla + yır
çiçəklərdən	çiçək + lərdən
işıqlardan	işıq + lardan
xəzinənin	xəzinə + nin
narın	nar + ın
fəlsəfəmizi	fəlsəfə + mizi
gülüşümə	gülüş + ümə
beynində	bey + nində
geodeziyaya	geodeziya + ya
fəlsəfənizdən	fəlsəfə + nizdən
çəyirtkələrin	çəyirtkə + lərin
qoxuları	qoxu + ları
kəfgirlərdən	kəfgir + lərdən
vazasından	vaza + sından
yemişinizdən	yemiş + inizdən
şaftalılarını	şaftalı + larını
gözlərinə	göz + lərinə
gözü	göz + ü
boyaların	boya + ların
səviyyəyə	səviyyə + yə
fəlsəfələrimizdə	fəlsəfə + lərimizdə
motosikletlərdə	motosiklet + lərdə
tələbələrimdən	tələbə + lərimdən
onurğalarından	onurğa + larından
matçlar	matç + lar
qəlsəmədən	qəlsəmə + dən
bacın	bacı + n
vazasında	vaza + sında
mətbəxi	mətbəx + i
açarlarını	açar + larını
özünüidarəetmələrin	özünüidarəetmə + lərin
ərlərə	ər + lərə
onurğalarınızda	onurğa + larınızda
süngümün	süngü + mün
tarixə	tarix + ə
onurğalarda	onurğa + larda
mismardan	mismar + dan
köynəyini	köynə + yini
xəbərlərə	xəbər + lərə
sonda	son + da
namazının	namaz + ının
anadan	ana + dan
bacısında	bacı + sında
göydələnlər	göydələn + lər
alətlərimizdən	alət + lərimizdən
tərcümənizdən	tərcümə + nizdən
kərtənkələləri	kərtənkələ + ləri
sözlüklərdən	sözlük + lərdən
oraqlar	oraq + lar
tərcümənizi	tərcümə + nizi
xəritədən	xəritə + dən
təyyarə	təyyarə
xəritələriniz	xəritə + ləriniz
Moəllim	Moəllim
alətim	alət + im
bağbanların	bağban + ların
soğandan	soğan + dan
sümüklərinə	sümük + lərinə
ensiklopediyalardan	ensiklopediya + lardan
alçamı	alça + mı
beyinlərdə	beyin + lərdə
atların	at + ların
qəlb	qəlb
oğraşı	oğraş + ı
dırnağımda	dırnağ + ımda
fəaliyyətin	fəaliyyət + in
köynəklərdə	köynək + lərdə
gözlərinin	göz + lərinin
düşmənlərimdən	düşmən + lərimdən
kəfgirimizdən	kəfgir + imizdən
gözümün	göz + ümün
dəyil	dəyil
qardaşlıq	qardaşlıq
baxırdı	bax + ırdı
içəcək	iç + əcək
təyyarələr	təyyarə + lər
ağlayacağıq	ağla + yacağıq
kişi	kişi
təbiəti	təbiət + i
ürəklərdən	ürək + lərdən
dəyirmanlara	dəyirman + lara
bilmirlər	bil + mirlər
fakültələrdə	fakültə + lərdə
nəticələrdə	nəticə + lərdə
süpürgədən	süpürgə + dən
rəhbərlərimizdən	rəhbər + lərimizdən
qaloşları	qaloş + ları
qulaqları	qulaq + ları
ördəkdə	ördək + də
okeanı	okean + ı
məktəblərinizdən	məktəb + lərinizdən
yatmış	yat + mış
xəritələrimə	xəritə + lərimə
köməkdən	kömək + dən
çəyirtkəyə	çəyirtkə + yə
qızılgüllərin	qızılgül + lərin
dolabdan	dolab + dan
yemişimdən	yemiş + imdən
yoldaşdan	yoldaş + dan
köməyindən	kö + məyindən
bıçağımız	bıçağ + ımız
onurğandan	onurğa + ndan
şaftalı	şaftalı
tülpandan	tülpan + dan
istifadəçidən	istifadəçi + dən
səviyyədən	səviyyə + dən
odların	od + ların
alçamızı	alça + mızı
dirsəyinizdə	dirsə + yinizdə
kəfgirlərimə	kəfgir + lərimə
hüceyrələrdə	hüceyrə + lərdə
fəaliyyətlərimizi	fəaliyyət + lərimizi
dirsəklərinizə	dirsək + lərinizə
zəfərlər	zəfər + lər
köməyimiz	kö + məyimiz
minbər	minbər
bacımızı	bacı + mızı
getmək	get + mək
pendirlərə	pendir + lərə
odun	od + un
bıçağınızda	bıçağ + ınızda
pomidorlarda	pomidor + larda
həftəyə	həftə + yə
bacılarına	bacı + larına
baldızlarımda	baldız + larımda
körfəzin	körfəz + in
əriyimizdə	əri + yimizdə
dirsəklərimizə	dirsək + lərimizə
respublikalardan	respublika + lardan
baxıran	bax + ıran
fakültənin	fakültə + nin
gözləri	göz + ləri
dünyanıza	dünya + nıza
bayraqların	bayraq + ların
açarlarına	açar + larına
