input	target
felhívnotok	felhív + notok
nyarával	nyará + val
osallistua	osallistua
kattavista	kattav + ista
olevista	olev + ista
termiinisopimuksen	termiini + sopimuksen
yhteistyötä	yhteis + työtä
testvériségekéi	testvériség + ekéi
niinpä	niinpä
Remedyn	Remedy + n
fóbiásaid	fóbiás + aid
apátba	apát + ba
torma	torma
pusztítanák	pusztít + anák
pendültetek	pendül + tetek
felhalmozásként	felhalmozás + ként
reaktiot	reaktio + t
yhteenveto	yhteen + veto
Williamset	Williams + et
háborúkért	háború + kért
felvarrt	felvarr + t
kasvannaiset	kasvannai + set
järjettömiä	järjet + tömiä
belülieknek	belüli + eknek
gyakornokoktól	gyakornok + októl
hyväilyillä	hyväily + illä
kokonaiskorko	kokonais + korko
mitokondriumoktól	mitokondrium + októl
hyvitysjärjestely	hyvitys + järjestely
veszedelmetek	veszedel + metek
kötelezvényekbe	kötelezvény + ekbe
süvegelnétek	süvegel + nétek
tizenegyeken	tizenegy + eken
jatkuvien	jatkuv + ien
pereskedett	peresked + ett
sopeutuivatko	sopeutu + ivatko
medvecukrokba	medvecuk + rokba
des	des
lääke	lääke
figyelőről	figyelő + ről
aurinkoon	aurinko + on
kurzívból	kurzív + ból
zsokékból	zsoké + kból
hősre	hős + re
patikáéi	patiká + éi
08.01.10	08.01.10
istuneen	istu + neen
mérleghintákhoz	mérleghintá + khoz
kustannuspainetta	kustannus + painetta
pelkoja	pelko + ja
väliseksi	väli + seksi
sanottais	sano + ttais
választásiból	választási + ból
seulontakutsujen	seulonta + kutsujen
délelőttről	délelőtt + ről
paloja	pal + oja
oikeusistuimelta	oikeus + istuimelta
számelméletre	számelmélet + re
esőerdőkért	esőerdő + kért
Susan	Susan
leluauto	lelu + auto
szegfűd	szegfű + d
Jānis	Jānis
változatosságokként	változatosság + okként
sózna	sóz + na
Siófokról	Siófok + ról
tutkimusryhmä	tutkimus + ryhmä
Aphroditétok	Aphrodité + tok
tereltünk	terel + tünk
szélmalmokkal	szélmal + mokkal
vaimosi	vaimo + si
istenitől	isteni + től
kisasszonynál	kisasszony + nál
vetovoima	veto + voima
rajongóiakat	rajongói + akat
dolgozói	dolgozói
seuraamisen	seuraami + sen
tuohtunutta	tuohtunut + ta
üzemeltetésibe	üzemeltetési + be
megfojtanom	megfojt + anom
szolgává	szolgá + vá
autonvalmistajien	auto + nvalmistajien
évtizedig	évtized + ig
tilastojen	tilasto + jen
megyéé	megyé + é
fogyóholdakig	fogyóhold + akig
kohdatessa	kohda + tessa
kysyjä	kysyjä
neutrínóéi	neutrínó + éi
katkaista	katkaista
selittäisi	selittä + isi
vastaavaa-puolella	vastaavaa + -puolella
palvelemaan	palvel + emaan
hiányoljam	hiányol + jam
-delnetek	-del + netek
birkán	birká + n
ötleteseknél	ötletes + eknél
Safka	Safka
pituussuunnassa	pituus + suunnassa
Blooded	Blooded
kiskoo	kisko + o
falfehérekként	falfehér + ekként
konzulensekéi	konzulens + ekéi
tottuneisiin	tottu + neisiin
bűnözésekből	bűnözés + ekből
tyhjän	tyhjä + n
tarkastelisimme	tarkastel + isimme
tutkijaryhmänsä	tutkija + ryhmänsä
spanyolviaszokért	spanyolviasz + okért
időzítették	időzít + ették
työhirmujen	työ + hirmujen
lupa	lupa
sulfidi-	sulfidi + -
hajigáljalak	hajigál + jalak
nimiä	nimi + ä
emberiségeim	emberiség + eim
herkkiä	herkk + iä
mágneses	mágneses
teatraalisesti	teatraalisesti
ihmeellistä	ihmeelli + stä
uhkaamaan	uh + kaamaan
makacsokba	makacs + okba
hiteleseket	hiteles + eket
gyökérzöldségé	gyökérzöldség + é
tuttavuuksille	tuttavuu + ksille
muuassa	mu + uassa
termei	ter + mei
aktusoknál	aktus + oknál
Salgadon	Salgado + n
megoldhatatlanra	megoldhatatlan + ra
elintézitek	elintéz + itek
arundinacea	arundinacea
hännänhuippuyliopisto	hännän + huippuyliopisto
gyakorlatosat	gyakorlatos + at
tüdőben	tüdő + ben
sopimuksiin	sopimu + ksiin
kukoistamaan	kukoista + maan
parlamentekért	parlament + ekért
yksinmyyntisopimusten	yksin + myyntisopimusten
Észak-Rajna-Vesztfáliává	Észak-Rajna-Vesztfáliá + vá
késhegyekből	késhegy + ekből
ösztönözted	ösztönöz + ted
lausahtavan	lausahta + van
vigyáznának	vigyáz + nának
udvariasra	udvarias + ra
taivasta	taivas + ta
tengeralattjárókkal	tengeralattjáró + kkal
testvériségen	testvériség + en
merenpohjaan	meren + pohjaan
garnélarákról	garnélarák + ról
neuvostoon	neuvosto + on
portugalilainen	portugalilainen
csatolmányok	csatolmány + ok
terméke	termék + e
hercegnéd	hercegné + d
naisskandaalia	nais + skandaalia
käyttäjän	käyttäjä + n
paperisenko	paperi + senko
kerülőül	kerülő + ül
jellemzés	jellem + zés
korcsolyáznám	korcsolyáz + nám
pelkonsa	pelko + nsa
kiittelevät	kiit + televät
Nepálban	Nepál + ban
iránytűről	iránytű + ről
televisiota	televisio + ta
Sauri	Sauri
noteerattiin	noteera + ttiin
kevät-ilmoja	kevät + -ilmoja
gyorshajtássá	gyorshajtás + sá
kiadnálak	kiad + nálak
üvöltésig	üvöltés + ig
mennyiségűtől	mennyiségű + től
ülőcsontjaik	ülőcsont + jaik
portái	portá + i
megszilárdították	megszilárdít + ották
sovittu	so + vittu
89/398/ETY	89/398/ETY
Peltola	Peltola
röhögöm	röhög + öm
ötszög	ötszög
kiedoin	kie + doin
Jone	Jone
syöttää	syöttää
napilapok	napilap + ok
kabócáink	kabócá + ink
nyelvészeteké	nyelvészetek + é
farsiksi	farsi + ksi
sivuavasta	sivu + avasta
iparnál	ipar + nál
sakkjátékosokat	sakkjátékos + okat
maoizmusokból	maoizmus + okból
fejőszékekért	fejőszék + ekért
suunhan	suu + nhan
5.	5.
rahalaitos	raha + laitos
kémkedni	kémked + ni
zigótává	zigótá + vá
említettük	említ + ettük
latinotok	latin + otok
báránya	bárány + a
huojentuneita	huojentu + neita
desszerted	desszert + ed
seurasit	seura + sit
tilastotietojen	tilasto + tietojen
tyydytyksen	tyydyty + ksen
liikenneonnettomuuksia	liikenne + onnettomuuksia
huiman	huima + n
eltérésekért	eltérés + ekért
filosofeeraavaa	filosofeeraava + a
ökleik	ök + leik
háznál	ház + nál
tepastelee	tepastel + ee
luulee	luul + ee
stíroljatok	stírol + jatok
mauritániaija	mauritániai + ja
Lamborghini	Lamborghini
johdos	johdos
myymäläautojen	myymälä + autojen
operációsakat	operációs + akat
kavicsosakról	kavicsos + akról
alkuvihellyksen	alku + vihellyksen
ilolientä	ilo + lientä
főzeteket	főzet + eket
fenékre	fené + kre
kyseisillä	kysei + sillä
saavuttavat	saavutta + vat
Balille	Bali + lle
partiomatkan	partio + matkan
Teemasivu:Politiikka	Teemasivu + :Politiikka
suojassa	suoja + ssa
kivetetted	kivet + etted
rinnakkaisverkostojen	rinnakkais + verkostojen
pelannut	pela + nnut
indiaijaink	indiai + jaink
kerroksellisuudesta	kerroksellisuu + desta
költőkéi	költő + kéi
szoliterük	szoliter + ük
jasszakra	jassz + akra
cipőtalptól	cipőtalp + tól
kirkkaus	kirkkaus
szőttél	sző + ttél
früstöktől	früstök + től
ryhmäpoikkeuksen	ryhmä + poikkeuksen
meteorokról	meteor + okról
örékbe	öré + kbe
2000-2006	2000-2006
luettuina	lu + ettuina
elviseled	elvisel + ed
kétlette	két + lette
honiakkal	honi + akkal
ingen	ing + en
ryhmää	ryhmä + ä
fakopáncstól	fakopáncs + tól
tótokéi	tót + okéi
raportteja	raportt + eja
pallot	pallo + t
tällaiseen	tällai + seen
raskailta	raska + ilta
varainhankintakampanjaan	varain + hankintakampanjaan
Pázmányom	Pázmány + om
Lukko	Lukko
frekvenciához	frekvenciá + hoz
vonzottalak	vonz + ottalak
késeiekéi	kései + ekéi
nimensähän	nim + ensähän
Inoi	Inoi
folklorizációid	folklorizáció + id
meséből	mesé + ből
unnak	un + nak
vaikutuspiiriin	vaikutus + piiriin
Ahlström	Ahlström
luvussa	lu + vussa
intenciókkal	intenció + kkal
bürokratikus	bürokratikus
värejä	vär + ejä
szinonimba	szinonim + ba
szóbeszédei	szóbeszéd + ei
koronájuk	koroná + juk
gimnáziumiaké	gimnáziumi + aké
tönkretettetek	tönkrete + ttetek
15.3.	15.3.
fuksin	fuksi + n
huivitragediat	huivi + tragediat
255	255
villilän	villilä + n
kétfejűvel	kétfejű + vel
blendéken	blendé + ken
myyjästä	myyjä + stä
súlyosnak	súlyos + nak
veroa	vero + a
kaunokirjallisuus	kauno + kirjallisuus
synkempi	synk + empi
olevista	olev + ista
pohjoisin	pohjoi + sin
hiipuvat	hiipu + vat
nélkülitől	nélküli + től
talajtól	talaj + tól
Etelä-Euroopan	Etelä-Euroop + an
játssza	játs + sza
árufeltöltők	árufeltöltő + k
kuudella	kuu + della
idegklinikákról	idegkliniká + król
pórunk	pór + unk
lentokentän	lento + kentän
szörnyethalnotok	szörnyethal + notok
kaupallisuuteen	kaupallisuu + teen
yksittäisessä	yksittäi + sessä
kicsempészni	kicsempész + ni
Huuto.net-noudon	Huuto.net + -noudon
aktusuk	aktus + uk
zokogjuk	zokog + juk
tyrmistyneet	tyrmisty + neet
királyságokért	királyság + okért
pidettyyn	pi + dettyyn
yhdenvertaiset	yhdenvertai + set
nikkelre	nikkel + re
albatroszból	albatrosz + ból
környékiekéi	környéki + ekéi
tamperelainen	tamperelainen
hervasztottak	hervaszt + ottak
mozicsillag	mozicsillag
karmoljunk	karmol + junk
kalapácsoknál	kalapács + oknál
kokeellisia	kokeelli + sia
kerekeitek	ker + ekeitek
legyintenie	legyint + enie
Elon	Elo + n
Pécsünk	Pécs + ünk
kattavat	katta + vat
lyhyestä	lyhy + estä
dugaszról	dugasz + ról
ventilátorrá	ventilátor + rá
éltessék	élte + ssék
vakulás	vakulás
túrosba	túros + ba
püspökök	püspök + ök
liliomok	liliom + ok
Pohjois-Kyproksen	Pohjois-Kypro + ksen
szerkezetűvel	szerkezetű + vel
misztikusságban	misztikusság + ban
piromániásakért	piromániás + akért
nyolcadikaként	nyolcadika + ként
tuottavuuden	tuottavuu + den
osztályvezetőkön	osztályvezető + kön
levinneisyys	levinneisyys
kavallettu	kaval + lettu
lapátéi	lapát + éi
éhségsztrájkhoz	éhségsztrájk + hoz
gésákból	gésá + kból
jalkojensa	jalk + ojensa
kieltää	kieltää
hutáknál	hutá + knál
sählystä	sähly + stä
Egyenlítőt	Egyenlítő + t
finanssipoliittista	finanssi + poliittista
kalászban	kalász + ban
haku	haku
tajunnallisuuteen	tajunnallisuu + teen
kelluu	kellu + u
trimeszterünk	trimeszter + ünk
kohonneeseen	koho + nneeseen
gráfon	gráf + on
félgömbökké	félgömb + ökké
viiveen	viive + en
tämäntyyppistä	tämäntyyppi + stä
gáztűzhelyként	gáztűzhely + ként
növénytanná	növénytan + ná
tuhovoimaisena	tuho + voimaisena
televisioverkkoon	televisio + verkkoon
infektoitua	infektoitua
l.-kké	l. + -kké
kotiläksyt	koti + läksyt
kirjoittamaan	kirjoitta + maan
tummui	tummu + i
hajnalodunk	hajnalod + unk
mátrixot	mátrix + ot
tyypillinen	tyypillinen
csepegtünk	csepeg + tünk
klipetek	klip + etek
ulkomaanekskursiolla	ulko + maanekskursiolla
gyorsítókéi	gyorsító + kéi
HP:n	HP + :n
tasa-arvoiset	tasa + -arvoiset
selässämme	sel + ässämme
sisällissodan	sisällis + sodan
keresgélitek	keresgél + itek
dézsáknál	dézsá + knál
autókölcsönzőbe	autókölcsönző + be
laiskuus	laiskuus
määrä	määrä
pakoon	pakoon
borongósból	borongós + ból
serpenyőkként	serpenyő + kként
agyonlősz	agyonlő + sz
myynnissä	myyn + nissä
mielipiteensä	mieli + piteensä
suunnittelijana	suunnittelija + na
keresztelésekéi	keresztelés + ekéi
töltésig	töltés + ig
leipääntyneen	leipääntyn + een
savukranaatit	savu + kranaatit
szórványosra	szórványos + ra
interferencia	interferencia
verekedtem	verek + edtem
kuukauteen	kuukau + teen
ammatillisen	ammatilli + sen
psykologiassa	psykologia + ssa
lenkille	lenk + ille
porba	por + ba
ösztövérekké	ösztövér + ekké
akasztást	akasztás + t
pystyvänsä	pysty + vänsä
csajkái	csajká + i
szívelégtelenségeid	szívelégtelenség + eid
emberkéből	emberké + ből
MM-kyykän	MM + -kyykän
beírnia	beír + nia
plazmáknál	plazmá + knál
könyököd	könyök + öd
synnystä	syn + nystä
suuntaavat	suun + taavat
ültetvényekké	ültetvény + ekké
többszöröseket	többszörös + eket
hektáron	hektár + on
liittyy	liitty + y
liitosten	liitos + ten
potenciálnak	potenciál + nak
lovagiatlant	lovagiatlan + t
isku	isku
rektorokban	rektor + okban
ékcsontom	ékcsont + om
elämältä	elämä + ltä
silikoniotsaisille	silikoni + otsaisille
käyttävän	käyttä + vän
lágyékiba	lágyéki + ba
hallitseva	hallitseva
luonnostaan	luonnostaan
merészségekért	merészség + ekért
ezelőttihez	ezelőtti + hez
oromzatossá	oromzatos + sá
deszkáké	deszká + ké
haastateltavat	haastateltava + t
vertétek	ver + tétek
Zemgalen	Zemgal + en
inspekcióért	inspekció + ért
työpanoksemme	työ + panoksemme
időként	idő + ként
bolygókéi	bolygó + kéi
szakaszokért	szakasz + okért
päätyvät	pääty + vät
üstdobig	üstdob + ig
palaamisen	palaami + sen
paiskimaan	paiski + maan
mahdottomat	mahdot + tomat
jelénél	jelé + nél
főzelékre	főzelék + re
világítócsöveid	világítócs + öveid
harmadikká	harmadik + ká
kongóijaim	kongói + jaim
súlyemelőért	súlyemelő + ért
piipahti	piipaht + i
állathoz	állat + hoz
paktumé	paktum + é
astumaan	astu + maan
légionistától	légionistá + tól
tölgyfába	tölgyfá + ba
realiteetteihin	realiteett + eihin
kertvárosért	kertváros + ért
neljännesvuosia	neljännes + vuosia
Suvi	Suvi
seksielämää	seksi + elämää
kalucsnikhoz	kalucsni + khoz
megkárosítsa	megkárosít + sa
intohimolla	into + himolla
gyáron	gyár + on
gyomrún	gyomrú + n
kuiduttamalla	kuidutta + malla
állandóságoknál	állandóság + oknál
lintua	lintu + a
artistánál	artistá + nál
tiennöön	tie + nnöön
tusról	tus + ról
statisztának	statisztá + nak
töröljelek	töröl + jelek
alkalmazkodásokért	alkalmazkodás + okért
flottákká	flottá + kká
kefirről	kefir + ről
bolygóidegnél	bolygóideg + nél
szakiránya	szakirány + a
Disney	Disney
saalistavan	saalista + van
miljoonan	miljoona + n
pénzhiánnyal	pénzhián + nyal
dugasszá	dugas + szá
csigolyáim	csigolyá + im
sétabotjai	sétabot + jai
offenzíváról	offenzívá + ról
harteilleen	harte + illeen
mandátumon	mandátum + on
retrográddal	retrográd + dal
radionikává	radioniká + vá
puutteen	puut + teen
egyházakba	egyház + akba
herkuksi	herk + uksi
tarackbúzákon	tarackbúzá + kon
julkaisemat	julkais + emat
myönsivät	myön + sivät
kórokozóig	kórokozó + ig
liikkui	liikku + i
differenciáljak	differenciál + jak
aidatuilla	aida + tuilla
centis	centis
numerot	numero + t
jälkeenkään	jälkeen + kään
Северсталь-авто	Северсталь-авто
Kööpenhaminassa	Kööpenhamina + ssa
gigantikusra	gigantikus + ra
esitettyjen	esit + ettyjen
kansainvälisillä	kansain + välisillä
1824	1824
nagymellűtől	nagymellű + től
keltuaiset	keltuai + set
újításban	újítás + ban
gyógyszerek	gyógyszer + ek
nähtävissä	näh + tävissä
86/289/ETY	86/289/ETY
ugrásnak	ugrás + nak
elhalasztottatok	elhalaszt + ottatok
műhelyeim	műhely + eim
välimatka	väli + matka
szokatlanoké	szokatlan + oké
stoori	stoori
makuupussia	makuu + pussia
vamzeroknál	vamzer + oknál
mérlegelte	mérlegel + te
sotilasyhteistyötä	sotilas + yhteistyötä
teini	teini
20.10.10	20.10.10
3–2	3–2
idézésre	idézés + re
esijälkiruokaisan	esi + jälkiruokaisan
Latviaan	Latvia + an
suojeltiin	suojel + tiin
felszerelés	felszerel + és
ostamista	ostami + sta
Terézekbe	Teréz + ekbe
megnyitnátok	megnyit + nátok
kerääntynyt	keräänty + nyt
toivottaa	toivottaa
mezőgazdászokig	mezőgazdász + okig
hagyma	hagyma
szállnunk	száll + nunk
latvoja	latv + oja
f-mollig	f-moll + ig
cammogtam	cammog + tam
varauduttu	varau + duttu
dzétával	dzétá + val
elmozdítana	elmozdít + ana
maatutkaluotauksissa	maa + tutkaluotauksissa
szenderegve	szendereg + ve
DirectConnectin	DirectConnect + in
átalakulásokért	átalakulás + okért
Snacks	Snacks
käyttöjärjestelmällä	käyttö + järjestelmällä
belélegeztek	beléleg + eztek
bűnbakoktól	bűnbak + októl
viittätoista	vii + ttätoista
felépített	felépített
trágyázatlanokba	trágyázatlan + okba
rongyolna	rongyol + na
sérthetetlenből	sérthetetlen + ből
0,26	0,26
gondosra	gondos + ra
monenväliset	monenväli + set
szélvészé	szélvész + é
markoltalak	markol + talak
Koivuselle	Koivu + selle
optimistissa	optimisti + ssa
förtelmeseket	förtelmes + eket
Szófiáig	Szófiá + ig
allekirjoittaneen	allekirjoittan + een
szmokingokat	szmoking + okat
dominikaiéi	dominikai + éi
liikkuvampi	liikkuva + mpi
rikoksen	riko + ksen
keresztelésbe	keresztelés + be
lainaa	laina + a
huzamért	huzam + ért
ajattelevansa	ajat + televansa
üvegházhatásod	üvegházhatás + od
suhteissa	suh + teissa
13,60	13,60
teljesüljetek	teljesül + jetek
fejlécekbe	fejléc + ekbe
uintia	uinti + a
eminenssi	eminenssi
sekélyesről	sekélyes + ről
ongelmanasettelu	ongelma + nasettelu
vantaalaisten	vantaalai + sten
kauppamatkalla	kauppa + matkalla
kormányzásra	kormányzás + ra
Nokian	Nokia + n
architektúrából	architektúrá + ból
kizárnád	kizár + nád
mieleeni	miel + eeni
valvota	valvo + ta
purjehtiviin	purjehti + viin
ridegeké	rideg + eké
kääntymään	käänty + mään
tulonlisät	tulo + nlisät
TekstiNelonen	TekstiNelonen
kovakuoriaisia	kova + kuoriaisia
gyehennáknál	gyehenná + knál
pajzsmirigyhormonból	pajzsmirigyhormon + ból
näky	näky
rövidnadrágokban	rövidnadrág + okban
totyognod	totyog + nod
lähemmäs	lähemmäs
személyiségiekig	személyiségi + ekig
formatálat	formatál + at
keskustelleet	keskustell + eet
etikettjei	etikett + jei
májelégtelenségé	májelégtelenség + é
kohdekudos	kohde + kudos
Tony	Tony
teollisuuden	teollisuu + den
itäpuolelle	itä + puolelle
lääketieteelliset	lääke + tieteelliset
sovellettavia	sovel + lettavia
testistä	testi + stä
reformációkéi	reformáció + kéi
zsakettem	zsakett + em
vezetőül	vezető + ül
személyjelekéi	személyjel + ekéi
maanraivaajaksi	maan + raivaajaksi
fürdőköpenyem	fürdőköpeny + em
ódákként	ódá + kként
estämällä	estä + mällä
soveltuvaa	soveltu + vaa
avantgárdjuk	avantgárd + juk
minkäänlaisia	minkäänlai + sia
ujoja	ujo + ja
nyugtatnálak	nyugtat + nálak
ejtett	ejt + ett
friuliért	friuli + ért
Untola	Untola
Keski-Brasiliasta	Keski-Brasilia + sta
41–43	41–43
túlozzatok	túloz + zatok
kiiltävin	kiiltäv + in
melegítésig	melegítés + ig
ecetekké	ecet + ekké
műbírálód	műbíráló + d
talitinttejä	tali + tinttejä
elrabol	elrabol
csatol	csatol
zajonganátok	zajong + anátok
Wikimedia-säätiön	Wikimedia + -säätiön
életveszélyektől	életveszély + ektől
pelikánig	pelikán + ig
alkalmasabbon	alkalmasabb + on
fakasztóhoz	fakasztó + hoz
mételyekként	métely + ekként
9,85	9,85
syy-yhteyttä	syy + -yhteyttä
+10	+10
täyttyi	täytty + i
marakodó	marakod + ó
közreműködnénk	közreműköd + nénk
hastáncként	hastánc + ként
selässään	sel + ässään
sudesta	su + desta
aarteet	aar + teet
leküldjem	leküld + jem
tupakoivat	tupakoi + vat
fyysikoiden	fyysik + oiden
melkein	melkein
elhasználta	elhasznál + ta
syrjimättömyyden	syrjimättömyy + den
megidéztem	megidéz + tem
5.Re5:n	5.Re5:n
Yorkissa	York + issa
füttyentsenek	füttyent + senek
epäonnisesti	epä + onnisesti
Hamina	Hamina
mutapohjalla	muta + pohjalla
előlegek	előleg + ek
edellistä	edelli + stä
pesszimizmusaim	pesszimizmus + aim
Ouluun	Oulu + un
1839	1839
szemcséknek	szemcsé + knek
avara	avara
kotitalousvähennystä	koti + talousvähennystä
elokuvaroolia	elo + kuvaroolia
kasvien	kasvi + en
tönkjeink	tönk + jeink
monennetta	mone + nnetta
oldalunk	oldal + unk
äänestys	äänestys
Hargitáitok	Hargitá + itok
Sacrecy	Sacrecy
mozdítandó	mozdít + andó
reaalikasvua	reaali + kasvua
koncentráljátok	koncentrál + játok
urakoista	urak + oista
perusopetuksen	perus + opetuksen
nagyszótárakért	nagyszótár + akért
sijainteja	sijaint + eja
liittynyt	liitty + nyt
vastustuskyky	vastustus + kyky
szinuszai	szinusz + ai
szakirányúaknak	szakirányú + aknak
ütött-kopottakba	ütött-kopott + akba
kenyérszövegem	kenyérszöveg + em
térbeliekig	térbeli + ekig
szajhától	szajhá + tól
szentelték	szentel + ték
parapszichológiáról	parapszichológiá + ról
süllőknek	süllő + knek
desszerten	desszert + en
változtatnám	változtat + nám
feldobtunk	feldob + tunk
ehdotukset	ehdotu + kset
lämpimästä	läm + pimästä
väärinkäytöksistä	väärin + käytöksistä
vahvasti	vahvasti
halásznadrágnak	halásznadrág + nak
lexikológiái	lexikológiá + i
zsúfoló	zsúfol + ó
ónokká	ón + okká
víztornyok	víztor + nyok
luottotappioissa	luotto + tappioissa
katsoivat	katso + ivat
kiusausta	kiusaus + ta
fontoskodjak	fontoskod + jak
közértetek	közért + etek
fóliasátrakat	fóliasát + rakat
yläkulmaan	ylä + kulmaan
saannut	saa + nnut
huhogtak	huhog + tak
neurológusokról	neurológus + okról
ezüstérmesem	ezüstérmes + em
kertelnie	kertel + nie
szívrohamoktól	szívroham + októl
mihinkin	mi + hinkin
intenzívekbe	intenzív + ekbe
rákkutatásokért	rákkutatás + okért
egyenértékűéi	egyenértékű + éi
arvioinnit	arvioin + nit
stratégiaiakkal	stratégiai + akkal
zsindelyezünk	zsindelyez + ünk
cégérről	cégér + ről
maksujensa	maksu + jensa
genfiektől	genfi + ektől
vaatimustenmukaisuutta	vaatimusten + mukaisuutta
ruotsin	ruotsi + n
nyomnálak	nyom + nálak
olaszokra	olasz + okra
Farnakes	Farnakes
belebeszélném	belebeszél + ném
järjestämän	järjestä + män
vakavaan	vakava + an
